query, wos_id, wos_title, PMID, search_result_rank, solr_score
"Pirrung MC: "The Invention of the DNA Chip (and Peptide Chip) personal communication. . May 1 2000",WOS:000175095400001,"Pirrung, MC 2002 How to make a DNA chip ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",NA,1,11.676736
"Pirrung MC: "The Invention of the DNA Chip (and Peptide Chip) personal communication. . May 1 2000",WOS:A1983QU96700011,"DAVIS, M 1983 THE CHIP AT 35 PERSONAL COMPUTING",NA,2,9.269671
"Geysen HM Meloen RH Barteling SJ: Use of Peptide Synthesis to Probe Viral Antigens for Epitopes to a Resolution of a Single Amino Acid. Proc Natl Acad Sci USA 1984 81:39984002.",WOS:A1984TA46100015,"MELOEN, RH BARTELING, SJ GEYSEN, HM 1984 USE OF PEPTIDE-SYNTHESIS TO PROBE VIRAL-ANTIGENS FOR EPITOPES TO A RESOLUTION OF A SINGLE AMINO-ACID PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-BIOLOGICAL SCIENCES",6204335,1,26.702085
"Geysen HM Meloen RH Barteling SJ: Use of Peptide Synthesis to Probe Viral Antigens for Epitopes to a Resolution of a Single Amino Acid. Proc Natl Acad Sci USA 1984 81:39984002.",WOS:A1995BE26J00021,"TEMIN, HM 1995 A proposal for a new approach to a preventive vaccine against human immunodeficiency virus type 1 (Reprinted from Proc Natl Acad Sci USA, vol 90, pg 4419-4420, 1993) DNA PROVIRUS",NA,2,14.087601
"Geysen HM et al.: Strategies for Epitope Analysis Using Pep tide Synthesis. J Immunol Meth 1987 102:259274.",WOS:A1987K113800015,"TRIBBICK, G MASON, TJ RODDA, SJ GEYSEN, HM SCHOOFS, PG 1987 STRATEGIES FOR EPITOPE ANALYSIS USING PEPTIDE-SYNTHESIS JOURNAL OF IMMUNOLOGICAL METHODS",2443575,1,12.582116
"Geysen HM et al.: Strategies for Epitope Analysis Using Pep tide Synthesis. J Immunol Meth 1987 102:259274.",WOS:A1990EG52200002,"BRAY, AM GEYSEN, HM MAEJI, NJ 1990 MULTI-PIN PEPTIDE-SYNTHESIS STRATEGY FOR T-CELL DETERMINANT ANALYSIS JOURNAL OF IMMUNOLOGICAL METHODS",1700019,2,7.1451926
"Fodor SPA Read JL Pirrung MC Stryer L Lu AT Solas D: Light Directed Spatially Addressable Parallel Chemical Synthesis. Science 1991 251:767773.",WOS:A1991EX57500036,"PIRRUNG, MC SOLAS, D LU, AT FODOR, SPA READ, JL STRYER, L 1991 LIGHT-DIRECTED, SPATIALLY ADDRESSABLE PARALLEL CHEMICAL SYNTHESIS SCIENCE",1990438,1,35.260258
"Fodor SPA Read JL Pirrung MC Stryer L Lu AT Solas D: Light Directed Spatially Addressable Parallel Chemical Synthesis. Science 1991 251:767773.",WOS:A1991HG08002555,"FODOR, SPA 1991 LIGHT-DIRECTED, SPATIALLY ADDRESSABLE PARALLEL CHEMICAL SYNTHESIS ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",NA,2,18.927366
"Ibid :772.",WOS:A1984SB79800038,"NITTVE, L 1984 'IBID' ARTFORUM",NA,1,6.7078204
"Ibid :772.",WOS:A1964CFY8300002,"DARLAND, DD 1964 CELL 772 JOURNAL OF TEACHER EDUCATION",NA,2,4.58746
"Alexander B: Biopoly Money. Wired 2000 8: ",WOS:000085415700008,"Fox, B 2000 Hot-wired NEW SCIENTIST",NA,1,7.3983607
"Alexander B: Biopoly Money. Wired 2000 8: ",WOS:A1991GN07700007,"POLLAK, R 1991 SUPER-BIOPOLY NATION",NA,2,7.3033643
"Stern D Fiekowsky P: USPTO 5631734. Method and apparatus fordetection of fluorescently labeled materials . May 20 1997 (Filed 10 February 1994)",WOS:A1994NE42900009,"STERN, D 1994 'APRAXIA' CONFRONTATION",NA,1,7.6336017
"Stern D Fiekowsky P: USPTO 5631734. Method and apparatus fordetection of fluorescently labeled materials . May 20 1997 (Filed 10 February 1994)",WOS:A1994MY28700039,"GRUFFYDD, P 1994 'STERN' POETRY WALES",NA,2,6.981363
"Trulson M Stern D Fiekowsky P Rava R Walton I Fodor SPA: USPTO 5578832. Method and apparatus for imaging a sample on adevice . November 26 1996",WOS:A1997BH84B00017,"Stern, D Walton, ID Rava, RP Trulson, MO Suseno, AD 1997 Fluorescence microscopy of oligonucleotide probe arrays ADVANCES IN FLUORESCENCE SENSING TECHNOLOGY III",NA,1,9.854934
"Trulson M Stern D Fiekowsky P Rava R Walton I Fodor SPA: USPTO 5578832. Method and apparatus for imaging a sample on adevice . November 26 1996",WOS:000071431600013,"Forman, JE Rava, RP Walton, ID Trulson, MO Stern, D 1998 Thermodynamics of duplex formation and mismatch discrimination on photolithographically synthesized oligonucleotide arrays MOLECULAR MODELING OF NUCLEIC ACIDS",NA,2,9.803112
"Winkler JL Fodor SPA Buchko CJ Ross DA Aldwin L: USPTO 5384261. Very large scale immobilized polymer synthesis using mechanically directed flow paths . January 24 1995 (Filed 22 November 1991) ",WOS:A1991EX57500036,"PIRRUNG, MC SOLAS, D LU, AT FODOR, SPA READ, JL STRYER, L 1991 LIGHT-DIRECTED, SPATIALLY ADDRESSABLE PARALLEL CHEMICAL SYNTHESIS SCIENCE",1990438,1,10.794146
"Winkler JL Fodor SPA Buchko CJ Ross DA Aldwin L: USPTO 5384261. Very large scale immobilized polymer synthesis using mechanically directed flow paths . January 24 1995 (Filed 22 November 1991) ",WOS:A1992GY44000550,"MAZZOLA, LT FODOR, SPA 1992 LIGHT-DIRECTED SYNTHESIS AND AFFINITY IMMOBILIZATION FASEB JOURNAL",NA,2,9.629155
"Hubbell EA Morris MS Winkler JL: USPTO 5571639. Computer aided engineering system for design of sequence arrays and lithographicmasks . November 5 1996",WOS:A1996UD10800015,"Crosheck, J 1996 Design of experiments COMPUTER-AIDED ENGINEERING",NA,1,9.986408
"Hubbell EA Morris MS Winkler JL: USPTO 5571639. Computer aided engineering system for design of sequence arrays and lithographicmasks . November 5 1996",WOS:A1996VG84600014,"Beckert, BA 1996 Melding design and manufacturing COMPUTER-AIDED ENGINEERING",NA,2,9.59773
"Powell JW Lellock KL: Development Commercialization and Diffusion of Enabling Technologies: Progress Report. Advanced Technology Program NISTIR 6491 2000:2829. 18. Ibid :29.",WOS:000220944900008,"Lellock, KL Voytek, KP Schmit, MA 2004 Developing performance metrics for science and technology programs: The case of the manufacturing extension partnership program ECONOMIC DEVELOPMENT QUARTERLY",NA,1,8.615426
"Powell JW Lellock KL: Development Commercialization and Diffusion of Enabling Technologies: Progress Report. Advanced Technology Program NISTIR 6491 2000:2829. 18. Ibid :29.",WOS:A19668639100021,"TITUS, JW 1966 JANAIR PROGRAM ASSIST REPORT OF NRL PROGRESS",NA,2,8.5288105
"Marshall E: DoItYourself Gene Watching. Science 1999 286(5439):444447.",WOS:000083121200039,"Marshall, E 1999 Do-it-yourself gene watching SCIENCE",10577207,1,12.311645
"Marshall E: DoItYourself Gene Watching. Science 1999 286(5439):444447.",WOS:000083368500027,"Marshall, E 1999 Scientific groups endorse test ban (vol 286, pg 387, 1999) SCIENCE",NA,2,9.282792
"Southern EM: DNA Microarrays: History and Overview. In Methods in Molecular Biology. DNA Arrays Methods and Protocols Methods Volume 170. Edited by: Rampal J. Totawa NJ: Humana; 2001:115.",WOS:000325579700001,"Makovets, Svetlana 2013 DNA Electrophoresis Methods and Protocols Preface DNA ELECTROPHORESIS: METHODS AND PROTOCOLS",NA,1,15.372038
"Southern EM: DNA Microarrays: History and Overview. In Methods in Molecular Biology. DNA Arrays Methods and Protocols Methods Volume 170. Edited by: Rampal J. Totawa NJ: Humana; 2001:115.",WOS:000400929300001,"Hughes, Randall A. 2017 Synthetic DNA Methods and Protocols Preface SYNTHETIC DNA: METHODS AND PROTOCOLS",NA,2,14.8508
"Schena M Shalon D Davis R Brown P: Quantitative monitoring of gene expression patterns with a complementary DNA microarray. Science 1995 270(5235):467470.",WOS:A1995TA37400041,"SHALON, D DAVIS, RW SCHENA, M BROWN, PO 1995 QUANTITATIVE MONITORING OF GENE-EXPRESSION PATTERNS WITH A COMPLEMENTARY-DNA MICROARRAY SCIENCE",7569999,1,25.421991
"Schena M Shalon D Davis R Brown P: Quantitative monitoring of gene expression patterns with a complementary DNA microarray. Science 1995 270(5235):467470.",WOS:A1996VL33300017,"Davis, RW Brown, PO Chai, A Heller, R Shalon, D Schena, M 1996 Parallel human genome analysis: Microarray-based expression monitoring of 1000 genes PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",8855227,2,12.467224
"Shalon D Smith S Brown P: A DNA microarray system for ana lyzing complex DNA samples using twocolor fluorescent probe hybridization. Genome Research 1996 6:639645.",WOS:A1996UX13600009,"Brown, PO Shalon, D Smith, SJ 1996 A DNA microarray system for analyzing complex DNA samples using two-color fluorescent probe hybridization GENOME RESEARCH",8796352,1,25.58672
"Shalon D Smith S Brown P: A DNA microarray system for ana lyzing complex DNA samples using twocolor fluorescent probe hybridization. Genome Research 1996 6:639645.",WOS:000223239200009,"Takenaka, S 2004 Monitoring of DNA hybridization by using electrochemically active DNA probe ELECTROCHEMISTRY",NA,2,11.089296
"Blanchard A Kaiser R Hood L: High density oligonucleotide arrays. Biosensors and Bioelectronics 1996 11:687690.",WOS:A1996UJ63200013,"Kaiser, RJ Hood, LE Blanchard, AP 1996 High-density oligonucleotide arrays BIOSENSORS & BIOELECTRONICS",NA,1,22.259378
"Blanchard A Kaiser R Hood L: High density oligonucleotide arrays. Biosensors and Bioelectronics 1996 11:687690.",WOS:A1994NL38300002,"SZWEDA, R 1994 BIOSENSORS-AND-BIOELECTRONICS UPDATE BIOSENSORS & BIOELECTRONICS",NA,2,10.621265
"Southern E: Detection of specific sequences among DNA frag ments separated by gel electrophoresis. J Mol Biol 1975 98:503517.",WOS:A1975AX47600005,"SOUTHERN, EM 1975 DETECTION OF SPECIFIC SEQUENCES AMONG DNA FRAGMENTS SEPARATED BY GEL-ELECTROPHORESIS JOURNAL OF MOLECULAR BIOLOGY",1195397,1,17.764547
"Southern E: Detection of specific sequences among DNA frag ments separated by gel electrophoresis. J Mol Biol 1975 98:503517.",WOS:A1975BQ98600085,"BENNETT, J 1975 DETECTION OF SPECIFIC SEQUENCES OF DNA NUCLEOTIDES THROUGH RAMAN-SPECTROSCOPY BIOTELEMETRY",NA,2,9.814899
"Benton W Davis R: Screening lambda1 recombinant clones by hybridization to single plaques in situ. Science 1977 196:180182.",WOS:A1977DA10600018,"DAVIS, RW BENTON, WD 1977 SCREENING GAMMAGT RECOMBINANT CLONES BY HYBRIDIZATION TO SINGLE PLAQUES INSITU SCIENCE",322279,1,20.483433
"Benton W Davis R: Screening lambda1 recombinant clones by hybridization to single plaques in situ. Science 1977 196:180182.",WOS:A1978FH78000013,"CAMI, B KOURILSKY, P 1978 SCREENING OF CLONED RECOMBINANT DNA IN BACTERIA BY IN SITU COLONY HYBRIDIZATION NUCLEIC ACIDS RESEARCH",353741,2,8.244794
"Kafatos F Jones C Efstratiadis A: Determination of nucleic acid sequence homologies and relative concentrations by a dot hybridization procedure. Nucleic Acids Res 1979 7:15411552.",WOS:A1979HV74200012,"KAFATOS, FC EFSTRATIADIS, A JONES, CW 1979 DETERMINATION OF NUCLEIC-ACID SEQUENCE HOMOLOGIES AND RELATIVE CONCENTRATIONS BY A DOT HYBRIDIZATION PROCEDURE NUCLEIC ACIDS RESEARCH",503860,1,30.163292
"Kafatos F Jones C Efstratiadis A: Determination of nucleic acid sequence homologies and relative concentrations by a dot hybridization procedure. Nucleic Acids Res 1979 7:15411552.",WOS:A1979HY91800018,"BROWN, TDK BALMAIN, A 1979 EFFECTS OF MERCURY-SUBSTITUTION ON THE HYBRIDIZATION CHARACTERISTICS OF NUCLEIC-ACIDS NUCLEIC ACIDS RESEARCH",392470,2,11.788589
"Hoheisel J Ross M Zehetner G Lehrach H: Relational genome analysis using reference libraries and hybridization finger printing. J Biotechnol 1994 35:121134.",WOS:A1994NW92400004,"ZEHETNER, G HOHEISEL, JD ROSS, MT LEHRACH, H 1994 RELATIONAL GENOME ANALYSIS USING REFERENCE LIBRARIES AND HYBRIDIZATION FINGERPRINTING JOURNAL OF BIOTECHNOLOGY",7765053,1,23.725447
"Hoheisel J Ross M Zehetner G Lehrach H: Relational genome analysis using reference libraries and hybridization finger printing. J Biotechnol 1994 35:121134.",WOS:A1993LJ28000024,"HOHEISEL, JD LEHRACH, H 1993 USE OF REFERENCE LIBRARIES AND HYBRIDIZATION FINGERPRINTING FOR RELATIONAL GENOME ANALYSIS FEBS LETTERS",8513883,2,17.664713
"Eisen M Brown P: DNA arrays for analysis of gene expression. Methods Enzymol 1999 303:179205.",WOS:000081913000012,"Brown, PO Eisen, MB 1999 DNA arrays for analysis of gene expression CDNA PREPARATION AND CHARACTERIZATION",10349646,1,13.647364
"Eisen M Brown P: DNA arrays for analysis of gene expression. Methods Enzymol 1999 303:179205.",WOS:000082033400370,"Brown, D Acosta, SA 1999 Improved methods for using gene arrays FASEB JOURNAL",NA,2,9.248227
"Shalon D Smith S Brown P: A DNA microarray system for ana lyzing complex DNA samples using twocolor fluorescent probe hybridization. Genome Research 1996 6:639645.",WOS:A1996UX13600009,"Brown, PO Shalon, D Smith, SJ 1996 A DNA microarray system for analyzing complex DNA samples using two-color fluorescent probe hybridization GENOME RESEARCH",8796352,1,25.58672
"Shalon D Smith S Brown P: A DNA microarray system for ana lyzing complex DNA samples using twocolor fluorescent probe hybridization. Genome Research 1996 6:639645.",WOS:000223239200009,"Takenaka, S 2004 Monitoring of DNA hybridization by using electrochemically active DNA probe ELECTROCHEMISTRY",NA,2,11.089296
"Schena M Davis RW: Genes genomes and chips. In DNA Micro arrays: A Practical Approach Edited by: Schena M. Oxford: Oxford Univ. Press; 1999:115. see especially p. 8",WOS:000083053500001,"Winzeler, EA Davis, RW Schena, M 1999 Fluorescence-based expression monitoring using microarrays EXPRESSION OF RECOMBINANT GENES IN EUKARYOTIC SYSTEMS",10432445,1,12.639057
"Schena M Davis RW: Genes genomes and chips. In DNA Micro arrays: A Practical Approach Edited by: Schena M. Oxford: Oxford Univ. Press; 1999:115. see especially p. 8",WOS:A1993KR21800004,"SCHENA, M LLOYD, AM DAVIS, RW 1993 THE HAT4 GENE OF ARABIDOPSIS ENCODES A DEVELOPMENTAL REGULATOR GENES & DEVELOPMENT",8449400,2,12.226573
"Harrington CA Rosenow C Retief J: Monitoring gene expression using DNA microarrays. Current Opinion in Microbiol ogy 2000 3:285291.",WOS:000087635200011,"Harrington, CA Retief, J Rosenow, C 2000 Monitoring gene expression using DNA microarrays CURRENT OPINION IN MICROBIOLOGY",10851158,1,25.42881
"Harrington CA Rosenow C Retief J: Monitoring gene expression using DNA microarrays. Current Opinion in Microbiol ogy 2000 3:285291.",WOS:000185580800003,"Zhu, T 2003 Global analysis of gene expression using GeneChip microarrays CURRENT OPINION IN PLANT BIOLOGY",12972041,2,10.24864
"Eisen M Brown P: DNA arrays for analysis of gene expression. Methods Enzymol 1999 303:179205. ",WOS:000081913000012,"Brown, PO Eisen, MB 1999 DNA arrays for analysis of gene expression CDNA PREPARATION AND CHARACTERIZATION",10349646,1,13.647364
"Eisen M Brown P: DNA arrays for analysis of gene expression. Methods Enzymol 1999 303:179205. ",WOS:000082033400370,"Brown, D Acosta, SA 1999 Improved methods for using gene arrays FASEB JOURNAL",NA,2,9.248227
"Cohen WM Levinthal D: Innovation and Learning: the Two Faces of R&D. Economic Journal 1989 99(September):569596.",WOS:A1989AQ46000001,"LEVINTHAL, DA COHEN, WM 1989 INNOVATION AND LEARNING - THE 2 FACES OF R-AND-D ECONOMIC JOURNAL",NA,1,15.263664
"Cohen WM Levinthal D: Innovation and Learning: the Two Faces of R&D. Economic Journal 1989 99(September):569596.",WOS:000352014200022,"Levinthal, Daniel A. Cohen, Wesley M. 2015 INNOVATION AND LEARNING: THE TWO FACES OF R&D ECONOMIC JOURNAL",NA,2,14.263424
"Schultz PG Xiang X Goldwasser I: USPTO 5776359. Giant mag netoresistive cobalt oxide compounds . July 7 1998 (Filed 8 May 1995)",WOS:A1995RZ34200030,"CHANG, HY XIANG, XD SCHULTZ, PG SUN, XD BRICENO, G 1995 A CLASS OF COBALT OXIDE MAGNETORESISTANCE MATERIALS DISCOVERED WITH COMBINATORIAL SYNTHESIS SCIENCE",NA,1,8.622326
"Schultz PG Xiang X Goldwasser I: USPTO 5776359. Giant mag netoresistive cobalt oxide compounds . July 7 1998 (Filed 8 May 1995)",WOS:A1995RT12100024,"MITCHELL, A 1995 JULY DAYS, MEMORIES OF BRITAIN MODERN REVOLUTION (PG 7, JULY 1995) HISTORY TODAY",NA,2,8.268504
"Engstrom J Weinberg W: Combinatorial Materials Science: Paradigm Shift in Materials Discovery and Optimization. AIChE Journal 2000 46(1):25.",WOS:000084886200001,"Weinberg, WH Engstrom, JR 2000 Combinatorial materials science: Paradigm shift in materials discovery and optimization AICHE JOURNAL",NA,1,23.450115
"Engstrom J Weinberg W: Combinatorial Materials Science: Paradigm Shift in Materials Discovery and Optimization. AIChE Journal 2000 46(1):25.",WOS:000081214600008,"Engstrom, JR Weinberg, WH 1999 Combinatorial materials science: A paradigm shift in materials discovery and optimization CHIMICA OGGI-CHEMISTRY TODAY",NA,2,17.947735
"Klaerner G Nielsen RB Mansky P Benoit D Charmot D Jandeleit B Mazzola LT: USPTO 6833276. Polymer brushes for immobilizing molecules to a surface and having watersoluble or waterdispersible seg ments therein andprobes bonded thereto . December 12 2004",WOS:000170690101670,"Piotti, M Charmot, D Benoit, D Nava-Salgado, V Kolosov, O Mansky, P Chang, HT Petro, M Jayaraman, M Klaerner, G 2001 High throughput synthesis and screening in specialty polymers applications. ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",NA,1,10.929592
"Klaerner G Nielsen RB Mansky P Benoit D Charmot D Jandeleit B Mazzola LT: USPTO 6833276. Polymer brushes for immobilizing molecules to a surface and having watersoluble or waterdispersible seg ments therein andprobes bonded thereto . December 12 2004",WOS:000220567600064,"Marsh, D 2004 Scaling and mean-field theories applied to polymer brushes BIOPHYSICAL JOURNAL",15041698,2,9.058233
"Schultz PG Xiang X Goldwasser I: USPTO 5776359. Giant magnetoresistive cobalt oxide compounds . July 7 1998 (Filed 8 May 1995)",WOS:A1995RZ34200030,"CHANG, HY XIANG, XD SCHULTZ, PG SUN, XD BRICENO, G 1995 A CLASS OF COBALT OXIDE MAGNETORESISTANCE MATERIALS DISCOVERED WITH COMBINATORIAL SYNTHESIS SCIENCE",NA,1,8.622326
"Schultz PG Xiang X Goldwasser I: USPTO 5776359. Giant magnetoresistive cobalt oxide compounds . July 7 1998 (Filed 8 May 1995)",WOS:A1995RT12100024,"MITCHELL, A 1995 JULY DAYS, MEMORIES OF BRITAIN MODERN REVOLUTION (PG 7, JULY 1995) HISTORY TODAY",NA,2,8.268504
"Murphy V Bei X Boussie T Brummer O Diamond G Goh C Hall K Lapointe A Leclerc M Longmire J et al.: HighThroughput Approaches for the Discovery and Optimization of New Ole fin Polymerization Catalysts. Chemical Record 2002 2(4):278289.",WOS:000182372900007,"Hall, KA Weinberg, WH Turner, H Shoemaker, JAW Longmire, JM Leclerc, M Lapointe, AM Goh, C Diamond, GM Brummer, O Boussie, TR Bei, XH Murphy, V 2002 High-throughput approaches for the discovery and optimization of new olefin polymerization catalysts CHEMICAL RECORD",12203910,1,27.917553
"Murphy V Bei X Boussie T Brummer O Diamond G Goh C Hall K Lapointe A Leclerc M Longmire J et al.: HighThroughput Approaches for the Discovery and Optimization of New Ole fin Polymerization Catalysts. Chemical Record 2002 2(4):278289.",WOS:000187062403196,"Brummer, O Boussie, TR Diamond, GM Goh, C Hall, K LaPointe, A Leclerc, M Longmire, J Murphy, V Shoemaker, JAW Turner, H Rosen, RK Stevens, JC 2003 Discovery of new stereospecific polypropylene catalysts using high-throughput techniques. ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",NA,2,21.827618
"Alivisatos P: The use of nanocrystals in biological detection. Nature Biotechnology 2004 22(Jan):4752.",WOS:000187745400025,"Alivisatos, P 2004 The use of nanocrystals in biological detection NATURE BIOTECHNOLOGY",14704706,1,18.692009
"Alivisatos P: The use of nanocrystals in biological detection. Nature Biotechnology 2004 22(Jan):4752.",WOS:000223655600538,"Alivisatos, AP 2004 Biological applications of nanocrystals. ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY",NA,2,9.338782
"Bruchez M Jr Moronne M Gin P Weiss S Alivisatos PA: Semiconductor Nanocrystals as Fluorescent Biological Labels. Science 1998 281(25 September):20132016.",WOS:000076161800051,"Gin, P Alivisatos, AP Bruchez, M Moronne, M Weiss, S 1998 Semiconductor nanocrystals as fluorescent biological labels SCIENCE",9748157,1,30.483374
"Bruchez M Jr Moronne M Gin P Weiss S Alivisatos PA: Semiconductor Nanocrystals as Fluorescent Biological Labels. Science 1998 281(25 September):20132016.",WOS:000081085902631,"Ben Dahan, M Bruchez, M Hamamoto, DJ Weiss, S Alivisatos, AP Moronne, MM 1999 Nanocrystal phosphors as biological probes for fluorescence microscopy BIOPHYSICAL JOURNAL",NA,2,14.596171
"Chan WCW Nie S: Quantum Dot Bioconjugates for Ultrasensitive Nonisotropic Detection. Science 1998 281(September 25):20162018.",WOS:000076161800052,"Chan, WCW Nie, SM 1998 Quantum dot bioconjugates for ultrasensitive nonisotopic detection SCIENCE",9748158,1,23.290058
"Chan WCW Nie S: Quantum Dot Bioconjugates for Ultrasensitive Nonisotropic Detection. Science 1998 281(September 25):20162018.",WOS:000179017400002,"Gao, XH Nie, SM Chan, WCW 2002 Quantum-dot nanocrystals for ultrasensitive biological labeling and multicolor optical encoding JOURNAL OF BIOMEDICAL OPTICS",12421118,2,12.088269
"Bawendi MG Jensen KF: USPTO 6617583. Inventory control . September 9 2003 (Filed 24 September 1998)",WOS:000220227400029,"Lifshin, L 2003 'September 24, 2001' CONFRONTATION",NA,1,11.60391
"Bawendi MG Jensen KF: USPTO 6617583. Inventory control . September 9 2003 (Filed 24 September 1998)",WOS:000076531800008,"Hecht, JM 1998 'September' ANTIOCH REVIEW",NA,2,9.256487
"Rotman D: Quantum Dot Com. MIT Technology Review 2002. January ",WOS:000084306000021,"Rotman, D 2000 Quantum Dot Com TECHNOLOGY REVIEW",NA,1,17.617819
"Rotman D: Quantum Dot Com. MIT Technology Review 2002. January ",WOS:000176955700019,"Rotman, D 2002 The nanotube computer TECHNOLOGY REVIEW",NA,2,10.182596
"Gilbert W: Towards a paradigm shift in biology. Nature 1991 349(6305):99100.",WOS:A1991ER41800021,"GILBERT, W 1991 TOWARDS A PARADIGM SHIFT IN BIOLOGY NATURE",1986314,1,17.796288
"Gilbert W: Towards a paradigm shift in biology. Nature 1991 349(6305):99100.",WOS:A1986D077300030,"BOULTON, GS 1986 GEOPHYSICS - A PARADIGM SHIFT IN GLACIOLOGY NATURE",NA,2,8.436248
"Norberg A O'Neill JE Freedman KJ: Transforming Computer Technol ogy: Information Processing for the Pentagon 19621986 Baltimore: Johns Hopkins University Press; 1996.",WOS:A1996VW71200033,"Shiman, P 1996 Transforming computer technology. Information processing for the Pentagon, 1962-1986 - Norberg,A, ONeill,JE, Freedman,KJ SCIENCE",NA,1,20.71011
"Norberg A O'Neill JE Freedman KJ: Transforming Computer Technol ogy: Information Processing for the Pentagon 19621986 Baltimore: Johns Hopkins University Press; 1996.",WOS:000073304000009,"Edwards, PN 1998 Transforming computer technology: Information processing for the Pentagon, 1962-1986. ISIS",NA,2,11.3007145
"National Research Council: Funding a Revolution: Government Support for Computing Research Washington DC: National Academies Press;1999.",WOS:000086727100003,"Lawler, A 2000 National academies - Task force tinkers with research council SCIENCE",10798986,1,12.450185
"National Research Council: Funding a Revolution: Government Support for Computing Research Washington DC: National Academies Press;1999.",WOS:A1997XF10300019,"Lawler, A 1997 National academies - Bison study marks radical shift for research council SCIENCE",9206837,2,12.303839
