query, wos_id, wos_title, PMID, search_result_rank, solr_score,Select
Dart RC Surratt HL Cicero TJ Parrino MW Severtson SG et al. 2015. Trends in opioid analgesic abuse and mortality in the United States. N. Engl. J. Med. 372:241-48,WOS:000348119200008,"Bucher-Bartelson, Becki Dart, Richard C. Surratt, Hilary L. Cicero, Theodore J. Parrino, Mark W. Severtson, S. Geoff Green, Jody L. 2015 Trends in Opioid Analgesic Abuse and Mortality in the United States NEW ENGLAND JOURNAL OF MEDICINE",NA,1,21.053907,X
Dart RC Surratt HL Cicero TJ Parrino MW Severtson SG et al. 2015. Trends in opioid analgesic abuse and mortality in the United States. N. Engl. J. Med. 372:241-48,WOS:000342352100164,"Cicero, T. J. Dart, R. C. Severtson, S. G. Severtson, S. G. Green, J. L. Surratt, H. L. Dart, R. C. Green, J. L. Parrino, M. W. 2014 BENDING THE CURVE OF OPIOID ANALGESIC ABUSE IN THE UNITED STATES ALCOHOL AND ALCOHOLISM",NA,2,19.013578,
Cicero TJ Ellis MS Surratt HL Kurtz SP. 2014. The changing face of heroin use in the United States: a retrospective analysis of the past 50 years. JAMA Psychiatry 71:821-26.,WOS:000339165200013,"Surratt, Hilary L. Ellis, Matthew S. Cicero, Theodore J. Kurtz, Steven P. 2014 The Changing Face of Heroin Use in the United States A Retrospective Analysis of the Past 50 Years JAMA PSYCHIATRY",24871348,1,27.059765,X
Cicero TJ Ellis MS Surratt HL Kurtz SP. 2014. The changing face of heroin use in the United States: a retrospective analysis of the past 50 years. JAMA Psychiatry 71:821-26.,WOS:000327596200012,"Ellis, Matthew S. Surratt, Hilary L. Cicero, Theodore J. Kurtz, Steven P. 2013 Factors influencing the selection of hydrocodone and oxycodone as primary opioids in substance abusers seeking treatment in the United States PAIN",24287106,2,11.533195,
The United States Senate Committee on Finance Website. http://www.finance.senate.gov/chairmans-news/baucusgrassley-seek-diagnosiss-about-opioid-manufacturers-ties-to-medical-groups.,WOS:A1989AV02500008,"SELTZER, R 1989 VIETNAMESE SCIENTISTS SEEK TIES WITH UNITED-STATES CHEMICAL & ENGINEERING NEWS",NA,1,11.206527,
The United States Senate Committee on Finance Website. http://www.finance.senate.gov/chairmans-news/baucusgrassley-seek-diagnosiss-about-opioid-manufacturers-ties-to-medical-groups.,WOS:A1967ZF01100004,"INKELES, A 1967 TESTIMONY PRESENTED TO UNITED-STATES SENATE SUB-COMMITTEE ON GOVERNMENT OPERATIONS AMERICAN SOCIOLOGIST",NA,2,9.569431,
Lin DH Lucas E Murimi IB Kolodny A Alexander GC. 2017 Mar 1. Financial Conflicts of Interest and the Centers for Disease Control and Prevention's 2016 Guideline for Prescribing Opioids for Chronic Pain. JAMA Intern Med. 177(3):427-428.,WOS:000396201000030,"Alexander, G. Caleb Lin, Dora H. Lucas, Eleanor Kolodny, Andrew Murimi, Irene B. Alexander, G. Caleb Murimi, Irene B. Lin, Dora H. Lucas, Eleanor Alexander, G. Caleb 2017 Financial Conflicts of Interest and the Centers for Disease Control and Prevention's 2016 Guideline for Prescribing Opioids for Chronic Pain JAMA INTERNAL MEDICINE",28114444,1,26.906176,X
Lin DH Lucas E Murimi IB Kolodny A Alexander GC. 2017 Mar 1. Financial Conflicts of Interest and the Centers for Disease Control and Prevention's 2016 Guideline for Prescribing Opioids for Chronic Pain. JAMA Intern Med. 177(3):427-428.,WOS:000381514800031,"McAuliffe, William E. 2016 Prescribing Opioids for Chronic Pain JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",27533171,2,15.009524,
Cicero TJ Kurtz SP Surratt HL Ibanez GE Ellis MS Levi-Minzi MA Inciardi JA. 2011 spring. Multiple Determinants of Specific Modes of Prescription Opioid Diversion. J Drug Issues. 41(2):283-304.,WOS:000208687500007,"Inciardi, James A. Levi-Minzi, Maria A. Ellis, Matthew S. Ibanez, Gladys E. Surratt, Hilary L. Kurtz, Steven P. Inciardi, James A. Cicero, Theodore J. 2011 MULTIPLE DETERMINANTS OF SPECIFIC MODES OF PRESCRIPTION OPIOID DIVERSION JOURNAL OF DRUG ISSUES",22287798,1,27.863787,X
Cicero TJ Kurtz SP Surratt HL Ibanez GE Ellis MS Levi-Minzi MA Inciardi JA. 2011 spring. Multiple Determinants of Specific Modes of Prescription Opioid Diversion. J Drug Issues. 41(2):283-304.,WOS:000237598400028,"Surratt, HL Inciardi, JA 2006 Research issues and experiences in studying prescription drug diversion DRUG AND ALCOHOL DEPENDENCE",NA,2,17.468884,
Campbell JN. APS 1995 Presidential address. Pain Forum. 1996;5:85-8.,WOS:A1996UB56000016,"Campbell, JN 1996 APS 1995 Presidential Address PAIN FORUM",NA,1,21.171148,X
Campbell JN. APS 1995 Presidential address. Pain Forum. 1996;5:85-8.,WOS:000071505200008,"Campbell, JN 1997 The medical model and low back pain PAIN FORUM",NA,2,9.30297,
Veterans Health Administration. Pain as the 5th Vital Sign Toolkit. https://www.va.gov/PAINMANAGEMENT/docs/Pain_As_the_5th_Vital_Sign_Toolkit.pdf.,WOS:000180498000002,"Kugelmann, R 2003 Pain as symptom, pain as sign HEALTH",NA,1,9.487597,
Veterans Health Administration. Pain as the 5th Vital Sign Toolkit. https://www.va.gov/PAINMANAGEMENT/docs/Pain_As_the_5th_Vital_Sign_Toolkit.pdf.,WOS:000252438500026,"Rousseau, Paul 2008 Pain as the fifth vital sign ARCHIVES OF SURGERY",18209163,2,9.117179,
Phillips DM. 2000 Jul 26. JCAHO pain management standards are unveiled. Joint Commission on Accreditation of Healthcare Organizations. JAMA. 284(4):428-9.,WOS:000088254200005,"Phillips, DM 2000 JCAHO pain management standards are unveiled JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",10904487,1,19.927309,X
Phillips DM. 2000 Jul 26. JCAHO pain management standards are unveiled. Joint Commission on Accreditation of Healthcare Organizations. JAMA. 284(4):428-9.,WOS:A1996UD07800004,"Sklar, DP 1996 Joint commission on accreditation of healthcare organizations requirements for sedation ANNALS OF EMERGENCY MEDICINE",8604846,2,11.596221,
Baker DW. 2017 Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.,WOS:000396987200013,"Baker, David W. 2017 History of The Joint Commission's Pain Standards Lessons for Today's Prescription Opioid Epidemic JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28241189,1,18.12931,X
Baker DW. 2017 Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.,WOS:000404717700024,"Baker, DavidW. 2017 The Joint Commission and the Opioid Epidemic Reply JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672313,2,11.453031,
Baker DW. 2017 Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.,WOS:000396987200013,"Baker, David W. 2017 History of The Joint Commission's Pain Standards Lessons for Today's Prescription Opioid Epidemic JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28241189,1,18.12931,
Baker DW. 2017 Mar 21. History of The Joint Commission's Pain Standards: Lessons for Today's Prescription Opioid Epidemic. JAMA. 317(11):1117-1118.,WOS:000404717700024,"Baker, DavidW. 2017 The Joint Commission and the Opioid Epidemic Reply JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672313,2,11.453031,
Chhabra N Leikin JB. 2017 Jul 4. The Joint Commission and the Opioid Epidemic. JAMA. 318(1):91-92.,WOS:000404717700023,"Chhabra, Neeraj Leikin, Jerrold B. 2017 The Joint Commission and the Opioid Epidemic JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672310,1,17.21647,X
Chhabra N Leikin JB. 2017 Jul 4. The Joint Commission and the Opioid Epidemic. JAMA. 318(1):91-92.,WOS:000404717700024,"Baker, DavidW. 2017 The Joint Commission and the Opioid Epidemic Reply JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672313,2,12.7675495,
Baker DW. 2017 Jul 4. The Joint Commission and the Opioid Epidemic-Reply. JAMA. 318(1):92.,WOS:000404717700024,"Baker, DavidW. 2017 The Joint Commission and the Opioid Epidemic Reply JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672313,1,16.053873,X
Baker DW. 2017 Jul 4. The Joint Commission and the Opioid Epidemic-Reply. JAMA. 318(1):92.,WOS:000404717700023,"Chhabra, Neeraj Leikin, Jerrold B. 2017 The Joint Commission and the Opioid Epidemic JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION",28672310,2,12.11236,
https://www.fsmb.org/Media/Default/PDF/FSMB/Advocacy/1998_grpol_Pain_Management_Guidelines.pdf,WOS:000290272200055,"Wijeratne, T. 2011 ADVOCACY AND THE MEDIA INTERNAL MEDICINE JOURNAL",NA,1,5.365321,
https://www.fsmb.org/Media/Default/PDF/FSMB/Advocacy/1998_grpol_Pain_Management_Guidelines.pdf,WOS:A1985AFK9500003,"SCHULTZ, J 1985 DEREGULATION BY DEFAULT OR DESIGN MEDIA CULTURE & SOCIETY",NA,2,5.176918,
The Joint Commission. Pain management. https://www.jointcommission.org/topics/pain_management.aspx.,WOS:A1996WE72900004,"Childress, SB Rischer, JB 1996 Cancer pain management: Pilot implementation of the AHCPR guideline in Utah JOINT COMMISSION JOURNAL ON QUALITY IMPROVEMENT",8923168,1,6.377907,
The Joint Commission. Pain management. https://www.jointcommission.org/topics/pain_management.aspx.,WOS:A1997XT18600012,"Yen, J Donahue, KT 1997 Joint Commission International JOINT COMMISSION JOURNAL ON QUALITY IMPROVEMENT",9116889,2,6.0193033,
Van Zee A. 2009. The promotion and marketing of OxyContin: commercial triumph public health tragedy. Am J Public Health. 99(2):221-227.,WOS:000262795100007,"Zee, Art Van 2009 The Promotion and Marketing of OxyContin: Commercial Triumph, Public Health Tragedy AMERICAN JOURNAL OF PUBLIC HEALTH",NA,1,26.09479,X
Van Zee A. 2009. The promotion and marketing of OxyContin: commercial triumph public health tragedy. Am J Public Health. 99(2):221-227.,WOS:000264050900023,"Boswell, J. P. 2009 Understanding health promotion PUBLIC HEALTH",NA,2,14.276146,
Pain Management and the Opioid Epidemic: Balancing Societal and Individual Benefi ts and Risks of Prescription Opioid Use The National Academies Press. http://nationalacademies.org/hmd/Reports/2017/pain-managementand-the-opioid-epidemic.aspx.,WOS:000408447100002,"Wang, Dajie 2017 Opioid Medications in the Management of Chronic Abdominal Pain CURRENT PAIN AND HEADACHE REPORTS",28791598,1,17.944584,
Pain Management and the Opioid Epidemic: Balancing Societal and Individual Benefi ts and Risks of Prescription Opioid Use The National Academies Press. http://nationalacademies.org/hmd/Reports/2017/pain-managementand-the-opioid-epidemic.aspx.,WOS:000340512300015,"Del Fabbro, Egidio Rauenzahn, Sherri 2014 Opioid management of pain: the impact of the prescription opioid abuse epidemic CURRENT OPINION IN SUPPORTIVE AND PALLIATIVE CARE",25004173,2,17.874548,
Statement from FDA Commissioner Scott Gottlieb M.D. on National Academies of Sciences Engineering and Medicine report on pain management and prescription opioid abuse. 2017 July 13. https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm566958.htm.,WOS:000412780300003,"Stanos, Steven P. 2017 National Academies of Sciences, Engineering, and Medicine (NASEM) PAIN MEDICINE",NA,1,13.4818,
Statement from FDA Commissioner Scott Gottlieb M.D. on National Academies of Sciences Engineering and Medicine report on pain management and prescription opioid abuse. 2017 July 13. https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm566958.htm.,WOS:000412764600007,"Morrison, Chris 2017 Speed and oversight: FDA Commissioner Gottlieb acts on pledges NATURE BIOTECHNOLOGY",NA,2,12.203893,
https://www.cdc.gov/drugoverdose/data/prescribing.html,WOS:000401282400007,"Williams, Ellen D. 2017 Innovation for impact https://arpa-e.energy.gov MRS BULLETIN",NA,1,4.3761663,
https://www.cdc.gov/drugoverdose/data/prescribing.html,WOS:000211194900002,"Gamble, Alyson 2015 World Aquaculture Society (https://www.was.org/) JOURNAL OF AGRICULTURAL & FOOD INFORMATION",NA,2,4.2044845,
Daubresse M Chang H Yu Y Viswanathan S et al. Ambulatory diagnosis and treatment of nonmalignant pain in,WOS:000318916401157,"Shah, N. Stafford, R. S. Alexander, G. C. Yu, Y. Viswanathan, S. Chang, H. Y. Daubresse, M. Kruszewski, S. 2013 AMBULATORY DIAGNOSIS AND TREATMENT OF NON-MALIGNANT PAIN IN THE UNITED STATES, 2000-2010 VALUE IN HEALTH",NA,1,14.24943,
Daubresse M Chang H Yu Y Viswanathan S et al. Ambulatory diagnosis and treatment of nonmalignant pain in,WOS:000324751000004,"Alexander, G. Caleb Daubresse, Matthew Chang, Hsien-Yen Yu, Yuping Viswanathan, Shilpa Shah, Nilay D. Stafford, Randall S. Alexander, G. Caleb Alexander, G. Caleb Kruszewski, Stefan P. Kruszewski, Stefan P. Daubresse, Matthew 2013 Ambulatory Diagnosis and Treatment of Nonmalignant Pain in the United States, 2000-2010 MEDICAL CARE",24025657,2,12.716252,
the United States 2000 - 2010. Medical Care 2013; 51(10): 870- 878. http://dx.doi.org/10.1097/MLR.0b013e3182a95d86,WOS:000086180300004,"Davis, RM 2000 Healthy People 2010: objectives for the United States BRITISH MEDICAL JOURNAL",10731155,1,7.5590544,
the United States 2000 - 2010. Medical Care 2013; 51(10): 870- 878. http://dx.doi.org/10.1097/MLR.0b013e3182a95d86,WOS:A1970H135600022,"HOPP, ES 1970 MEDICAL CARE IN UNITED-STATES LANCET",4194710,2,7.534851,
Madras BK. 2017 May 1. The Surge of Opioid Use Addiction and Overdoses: Responsibility and Response of the US Health Care System. JAMA Psychiatry. 74(5):441-442.,WOS:000400464300006,"Madras, Bertha K. 2017 The Surge of Opioid Use, Addiction, and Overdoses Responsibility and Response of the US Health Care System JAMA PSYCHIATRY",28355456,1,26.447613,X
Madras BK. 2017 May 1. The Surge of Opioid Use Addiction and Overdoses: Responsibility and Response of the US Health Care System. JAMA Psychiatry. 74(5):441-442.,WOS:000409393600026,"Madras, Bertha K. 2017 Ineffective Policies to Address the Opioid Epidemic Reply JAMA PSYCHIATRY",28793148,2,11.336351,
Chiu AS Healy JM DeWane MP Longo WE Yoo PS. 2017 Jul 10. Trainees as Agents of Change in the Opioid,WOS:A1982PQ09700027,"JOHNSON, DW 1982 THE UTILIZATION OF CLASSROOM PEERS AS BEHAVIOR-CHANGE AGENTS - STRAIN,PS EDUCATIONAL LEADERSHIP",NA,1,8.241544,
Chiu AS Healy JM DeWane MP Longo WE Yoo PS. 2017 Jul 10. Trainees as Agents of Change in the Opioid,WOS:A1982NN44100042,"EHLY, SW 1982 THE UTILIZATION OF CLASSROOM PEERS AS BEHAVIOR-CHANGE AGENTS - STRAIN,PS CONTEMPORARY PSYCHOLOGY",NA,2,8.241544,
Epidemic: Optimizing the Opioid Prescription Practices of Surgical Residents. J Surg Educ. pii: S19317204(17)30157-5.,WOS:000406463400008,"Humphreys, Keith Humphreys, Keith 2017 Avoiding globalisation of the prescription opioid epidemic LANCET",28792397,1,8.376929,
Epidemic: Optimizing the Opioid Prescription Practices of Surgical Residents. J Surg Educ. pii: S19317204(17)30157-5.,WOS:000384981200023,"Meldrum, Marcia L. 2016 The Ongoing Opioid Prescription Epidemic: Historical Context AMERICAN JOURNAL OF PUBLIC HEALTH",27400351,2,7.5508623,
Madras BK. 2010 Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington DC. Ann N Y Acad Sci. 1187:370-402.,WOS:000277795700019,"Madras, Bertha K. 2010 Office of National Drug Control Policy A scientist in drug policy in Washington, DC ADDICTION REVIEWS 2",20201863,1,22.221691,X
Madras BK. 2010 Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington DC. Ann N Y Acad Sci. 1187:370-402.,WOS:000279531600001,"Ritter, Alison 2010 Conceptualising 'balance' in national drug policy DRUG AND ALCOHOL REVIEW",20636648,2,12.196894,
Madras BK Compton WM Avula D Stegbauer T Stein JB Clark HW. 2009 Jan 1. Screening brief interventions referral to treatment (SBIRT) for illicit drug and alcohol use at multiple healthcare sites: comparison at intake and 6 months later. Drug Alcohol Depend. 99(1-3):280-95.,WOS:000262700500031,"Avula, Deepa Stegbauer, Tom Madras, Bertha K. Stein, Jack B. Clark, H. Westley Compton, Wilson A. 2009 Screening, brief interventions, referral to treatment (SBIRT) for illicit drug and alcohol use at multiple healthcare sites: Comparison at intake and 6 months later DRUG AND ALCOHOL DEPENDENCE",18929451,1,38.618763,X
Madras BK Compton WM Avula D Stegbauer T Stein JB Clark HW. 2009 Jan 1. Screening brief interventions referral to treatment (SBIRT) for illicit drug and alcohol use at multiple healthcare sites: comparison at intake and 6 months later. Drug Alcohol Depend. 99(1-3):280-95.,WOS:000085355500001,"Compton, WM 2000 Cocaine use and HIV risk in out of treatment drug abusers DRUG AND ALCOHOL DEPENDENCE",10759031,2,14.916759,
Gupta A Lee LK Mojica JJ Nairizi A George SJ. 2014 Sep-Oct. Patient perception of pain care in the United States: a 5-year comparative analysis of hospital consumer assessment of health care providers and systems. Pain Physician. 17(5):369-77.,WOS:000346033600016,"Nairizi, Ali Lee, Lisa K. Gupta, Anita George, Shelley J. Mojica, Jeffrey J. 2014 Patient Perception of Pain Care in the United States: A 5-Year Comparative Analysis of Hospital Consumer Assessment of Health Care Providers and Systems PAIN PHYSICIAN",25247895,1,33.119278,X
Gupta A Lee LK Mojica JJ Nairizi A George SJ. 2014 Sep-Oct. Patient perception of pain care in the United States: a 5-year comparative analysis of hospital consumer assessment of health care providers and systems. Pain Physician. 17(5):369-77.,WOS:000359004400003,"Martin, Laura K. 2015 Implementing a Pain Care Toolkit to Improve Patient Perception of Pain Care JOURNAL OF CONTINUING EDUCATION IN NURSING",26154668,2,13.441992,
"Kelly S Johnson GT Harbison RD. 2016 Apr-Jun. Pressured to prescribe"" The impact of economic and""",WOS:000379341300001,"Johnson, William R. Markel, Kelly 2016 Introduction AMERICAN ECONOMIC REVIEW",NA,1,7.522261,
"Kelly S Johnson GT Harbison RD. 2016 Apr-Jun. Pressured to prescribe"" The impact of economic and""",WOS:A1984SB63300066,"HARBISON, RD 1984 IDENTIFYING AND ESTIMATING THE GENETIC IMPACT OF CHEMICAL MUTAGENS - NATL-RES-COUNCIL AMERICAN SCIENTIST",NA,2,7.0705643,
regulatory factors on South-Eastern ED physicians when managing the drug seeking patient. J Emerg Trauma Shock. 9(2):58-63.,WOS:000359684300022,"John, J. 2015 Algorithms for managing the common trauma patient SAMJ SOUTH AFRICAN MEDICAL JOURNAL",26719860,1,8.634048,
regulatory factors on South-Eastern ED physicians when managing the drug seeking patient. J Emerg Trauma Shock. 9(2):58-63.,WOS:A19638814B00247,"FORSBERGH, ED JOSEPH, J 1963 PHYTOPLANKTON PRODUCTION IN SOUTH-EASTERN PACIFIC NATURE",NA,2,7.040065,
O'Donnell JK Halpin J Mattson CL Goldberger BA Gladden RM. Deaths Involving Fentanyl Fentanyl Analogs and U-47700 -- 10 States July-December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1.,WOS:000382135300002,"Seth, Puja Martinez, Pedro Gladden, R. Matthew 2016 Fentanyl Law Enforcement Submissions and Increases in Synthetic Opioid-Involved Overdose Deaths-27 States, 2013-2014 MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT",27560775,1,13.518165,
O'Donnell JK Halpin J Mattson CL Goldberger BA Gladden RM. Deaths Involving Fentanyl Fentanyl Analogs and U-47700 -- 10 States July-December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1.,WOS:000081722900019,"Talan, DA Pinner, RW Moran, GJ 1999 Bioterrorism alleging use of anthrax and interim guidelines for management - United States, 1998 (Reprinted from MMWR Morb Mortal Wkly Rep, vol 48, pg 69-74, 1999) ANNALS OF EMERGENCY MEDICINE",NA,2,11.823215,
https://www.dea.gov/divisions/hq/2016/hq100416.shtml,WOS:000370889600041,"Mazzaro, Jerome 2016 Divisions SEWANEE REVIEW",NA,1,6.124628,
https://www.dea.gov/divisions/hq/2016/hq100416.shtml,WOS:000388498700007,"Gu, Xiaojing Zhou, Peng 2016 HTTPAS: active authentication against HTTPS man-in-the-middle attacks IET COMMUNICATIONS",NA,2,4.6783643,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:A1988Q405900001,"GOLDMAN, W 1988 MENTAL-HEALTH AND SUBSTANCE ABUSE SERVICES IN HMOS ADMINISTRATION IN MENTAL HEALTH",NA,1,12.508306,
Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on,WOS:000227771300009,"Cavanaugh, DA 2005 Substance abuse and mental health services for children and adolescents ADMINISTRATION AND POLICY IN MENTAL HEALTH",15844859,2,11.405978,
Han B Compton WM Blanco C Crane E Lee J Jones CM. 2017. Prescription Opioid Use Misuse and Use Disorders in U.S. Adults: 2015 National Survey on Drug Use and Health. Ann Intern Med 167(5):293-301.,WOS:000409120400003,"Lee, Jinhee Jones, Christopher M. Crane, Elizabeth Blanco, Carlos Compton, Wilson M. Han, Beth 2017 Prescription Opioid Use, Misuse, and Use Disorders in US Adults: 2015 National Survey on Drug Use and Health ANNALS OF INTERNAL MEDICINE",28761945,1,27.066648,X
Han B Compton WM Blanco C Crane E Lee J Jones CM. 2017. Prescription Opioid Use Misuse and Use Disorders in U.S. Adults: 2015 National Survey on Drug Use and Health. Ann Intern Med 167(5):293-301.,WOS:000409120400001,"Jones, C. M. Crane, E. Han, B. Lee, J. Blanco, C. Compton, W. M. 2017 Prescription Opioid Use, Misuse, and Use Disorders in US Adults ANNALS OF INTERNAL MEDICINE",NA,2,26.4171,X
