ID,Citing Source Item,Cited Source Item Number,DocumentID,Type,ID,DOI,WOS,PMID,Note,Reference,
233,PresComReport,28,396,Report,,,,,,"Statement from FDA Commissioner Scott Gottlieb, M.D., on National Academies of Sciences, Engineering, and Medicine report on pain management and prescription opioid abuse. 2017, July 13. https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm566958.htm",
234,PresComReport,29,301,Report,,,,,,https://www.cdc.gov/drugoverdose/data/prescribing.html,
235,PresComReport,30,262,Article,,,WOS:000324751000004,24025657,,"Daubresse M, Chang H, Yu Y, Viswanathan S, et al. Ambulatory diagnosis and treatment of nonmalignant pain in the United States, 2000 – 2010. Medical Care 2013; 51(10): 870- 878. http://dx.doi.org/10.1097/MLR.0b013e3182a95d86",
236,PresComReport,31,334,Article,,,WOS:000400464300006,28355456,,"Madras BK. 2017, May 1. The Surge of Opioid Use, Addiction, and Overdoses: Responsibility and Response of the US Health Care System. JAMA Psychiatry. 74(5):441-442.",
237,PresComReport,32,238,Article,,,,28705485,,"Chiu AS, Healy JM, DeWane MP, Longo WE, Yoo PS. 2017, Jul 10. Trainees as Agents of Change in the Opioid Epidemic: Optimizing the Opioid Prescription Practices of Surgical Residents. J Surg Educ. pii: S1931- 7204(17)30157-5.",
238,PresComReport,33,333,Article,,,WOS:000277795700019,20201863,,"Madras BK. 2010 Feb. Office of National Drug Control Policy: a scientist in drug policy in Washington, DC. Ann N Y Acad Sci. 1187:370-402.",
239,PresComReport,34,332,Article,,,WOS:000262700500031,18929451,,"Madras BK, Compton WM, Avula D, Stegbauer T, Stein JB, Clark HW. 2009, Jan 1. Screening, brief interventions, referral to treatment (SBIRT) for illicit drug and alcohol use at multiple healthcare sites: comparison at intake and 6 months later. Drug Alcohol Depend. 99(1-3):280-95.",
240,PresComReport,35,283,Article,,,WOS:000346033600016,25247895,,"Gupta A, Lee LK, Mojica JJ, Nairizi A, George SJ. 2014, Sep-Oct. Patient perception of pain care in the United States: a 5-year comparative analysis of hospital consumer assessment of health care providers and systems. Pain Physician. 17(5):369-77.",
241,PresComReport,36,315,Article,,10.4103/0974-2700.179454,,27162437,,"Kelly S, Johnson GT, Harbison RD. 2016, Apr-Jun. ""Pressured to prescribe"" The impact of economic and regulatory factors on South-Eastern ED physicians when managing the drug seeking patient. J Emerg Trauma Shock. 9(2):58-63.",
242,PresComReport,37,365,Article,,/10.15585/mmwr.mm6643e1.,WOS:000414252200007,,,"O’Donnell JK, Halpin J, Mattson CL, Goldberger BA, Gladden RM. Deaths Involving Fentanyl, Fentanyl Analogs, and U-47700 — 10 States, July–December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1.",
243,PresComReport,38,303,Website,,,,,,https://www.dea.gov/divisions/hq/2016/hq100416.shtml,
244,PresComReport,39,398,Report,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 1.28A and 1.28B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
245,PresComReport,40,285,Article,,,WOS:000409120400003,28761945,,"Han B, Compton WM, Blanco C, Crane E, Lee J, Jones CM. 2017. Prescription Opioid Use, Misuse, and Use Disorders in U.S. Adults: 2015 National Survey on Drug Use and Health. Ann Intern Med 167(5):293-301.",
246,PresComReport,41,285,Article,,,WOS:000409120400003,28761945,,"Han B, Compton WM, Blanco C, Crane E, Lee J, Jones CM. 2017. Prescription Opioid Use, Misuse, and Use Disorders in U.S. Adults: 2015 National Survey on Drug Use and Health. Ann Intern Med 167(5):293-301.",
247,PresComReport,42,232,Report,,,,,Not found in WOS,"Center for Behavioral Health Statistics and Quality. (2016). Key substance use and mental health indicators in the United States: Results from the 2015 National Survey on Drug Use and Health (HHS Publication No. SMA 16 - 4984, NSDUH Series H-51). Retrieved from http://www.samhsa.gov/data/.",
248,PresComReport,43,398,Report/Website/Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Section 1 Tables and Table 5.17A. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
249,PresComReport,44,398,Report/Website/Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Section 5 Tables. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
250,PresComReport,45,346,Article,,,WOS:000251185000011,17916222,,"McCabe SE, West BT, Morales M, Cranford JA, Boyd CJ. 2007. Does early onset of non-medical use of prescription drugs predict subsequent prescription drug abuse and dependence? Results from a national study. Addiction. 102(12):1920–30",
251,PresComReport,46,399,Article,,,WOS:000241467500004,17060538,,"Sullivan MD, Edlund MJ, Zhang L, Unutzer J, Wells KB. 2006. Association between mental health disorders, problem drug use, and regular prescription opioid use. Arch Intern Med. 166(19):2087–93.",
252,PresComReport,47,213,Article,,,WOS:000289507500027,21354703,,"Barry DT, Goulet JL, Kerns RK, Becker WC, Gordon AJ, Justice AC, Fiellin DA. 2011, May. Nonmedical use of prescription opioids and pain in veterans with and without HIV. Pain. 152(5):1133-8.",
253,PresComReport,48,276,Article,,,WOS:000344456900002,25115224,,"Galanter M, Dermatis H, Sampson C. 2014. Narcotics anonymous: a comparison of military veterans and nonveterans. J Addict Dis. 33(3):187-95.",
254,PresComReport,49,313,Article,,,WOS:000072660700009,9547764,,"Kaltenbach K, Berghella V, Finnegan L. 1998. Opioid dependence during pregnancy. Effects and management. Obstet Gynecol Clin North Am 25(1):139–51.",
255,PresComReport,50,216,Article,,,WOS:000253929700005,18063321,,"Becker WC, Sullivan LE, Tetrault JM, Desai RA, Fiellin DA. 2008. Non-medical use, abuse and dependence on prescription opioids among U.S. adults: psychiatric, medical and substance use correlates. Drug Alcohol Depend 94(1–3):38–47.",
256,PresComReport,51,398,Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 1.28A and 1.28B. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf, accessed on October 26, 2017.",
257,PresComReport,52,423,Article,,,WOS:000390965200018,27810654,,"Wu LT, Zhu H, Swartz MS. 2016, Dec 1. Treatment utilization among persons with opioid use disorder in the United States. Drug Alcohol Depend. 169:117-127.",
258,PresComReport,53,314,Article,,,WOS:000384981200035,27196642,,"Katzman JG, Fore C, Bhatt S, Greenberg N, Griffin Salvador J, Comerci GC, Camarata C, Marr L, Monette R, Arora S, Bradford A, Taylor D, Dillow J, Karol S. 2016, Aug. Evaluation of American Indian Health Service Training in Pain Management and Opioid Substance Use Disorder. Am J Public Health. 106(8):1427-9.",
259,PresComReport,54,365,Article,,/10.15585/mmwr.mm6643e1,WOS:000414252200007,,,"O’Donnell JK, Halpin J, Mattson CL, Goldberger BA, Gladden RM. Deaths Involving Fentanyl, Fentanyl Analogs, and U-47700 — 10 States, July–December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1",
260,PresComReport,55,329,Article,,,WOS:000409184600001,28459969,,"Logan BK, Mohr ALA, Friscia M, Krotulski AJ, Papsun DM, Kacinko SL, Ropero-Miller JD, Huestis MA. 2017. Reports of adverse events associated with use of novel psychoactive substances, 2013-2016: A review. J Anal Toxicol 41(7):573-610.",
261,PresComReport,56,245,Article,,,WOS:000407666100014,28582697,,"Cicero TJ, Ellis MS, Kasper ZA. Increases in self-reported fentanyl use among a population entering drug treatment: The need for systematic surveillance of illicitly manufactured opioids. Drug Alcohol Depend. 2017 Aug 1;177:101-103.",
262,PresComReport,57,365,Article,,/10.15585/mmwr.mm6643e1,WOS:000414252200007,,,"O’Donnell JK, Halpin J, Mattson CL, Goldberger BA, Gladden RM. Deaths Involving Fentanyl, Fentanyl Analogs, and U-47700 — 10 States, July–December 2016. MMWR Morb Mortal Wkly Rep. ePub: 27 October 2017. DOI: http://dx.doi.org/10.15585/mmwr.mm6643e1",
263,PresComReport,58,317,Article,,,WOS:000384275600006,,,"Klar SA, Brodkin E, Gibson E, Padhi S, Predy C, Green C, Lee V. Notes from the Field: Furanyl-Fentanyl Overdose Events Caused by Smoking Contaminated Crack Cocaine - British Columbia, Canada, July 15-18, 2016. MMWR Morb Mortal Wkly Rep. 2016 Sep 23;65(37):1015-1016.",
264,PresComReport,59,267,Article,,,WOS:000406260800051,28740128,,"Fabregat-Safont D, Carbón X, Ventura M, Fornís I, Guillamón E, Sancho JV, Hernández F, Ibáñez M. 2017. Updating the list of known opioids through identification and characterization of the new opioid derivative 3,4 - dichloro-N-(2-(diethylamino)cyclohexyl)-N-methylbenzamide (U-49900). Sci Rep 7(1):6338.",
265,PresComReport,60,425,Article,,,WOS:000404781900001,28713291,,Zawilska JB. An Expanding World of Novel Psychoactive Substances: Opioids. Front Psychiatry. 2017 Jun 30;8:110. doi: 10.3389/fpsyt.2017.00110. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL,
266,PresComReport,61,272,Article,,,WOS:000404528000002,28035035,,"Fleming SW, Cooley JC, Johnson L, Frazee CC, Domanski K, Kleinschmidt K, Garg U. Analysis of U-47700, a Novel Synthetic Opioid, in Human Urine by LC-MS-MS and LC-QToF. J Anal Toxicol. 2017 Apr 1;41(3):173- 0.",
267,PresComReport,62,374,Article,,,WOS:000406998300004,28590391,,"Prekupec MP, Mansky PA, Baumann MH. Misuse of Novel Synthetic Opioids: A Deadly New Trend. J Addict Med. 2017 Jul/Aug;11(4):256-265.",
268,PresComReport,63,409,Article,,10.2174/1874467210666170704110146,,28676005,,"Ventura L, Carvalho F, Dinis-Oliveira RJ. 2017. Opioids in the frame of new psychoactive substances network: A complex pharmacological and toxicological issue. Curr Mol Pharmacol [Epub ahead of print].",
269,PresComReport,64,391,Article,,,WOS:000408302900010,28708940,,"Soares JX, Alves EA, Silva AMN, de Figueiredo NG, Neves JF, Cravo SM, Rangel M, Netto ADP, Carvalho F, Dinis-Oliveira RJ, Afonso CM. 2017. Street-like synthesis of Krokodil Results in the formation of an enlarged cluster of known and new morphinans. Chem Res Toxicol 30(8):1609-1621.",
270,PresComReport,65,398,Report/Website/Data,,,,,,"Substance Abuse and Mental Health Services Administration. 2017. Results from the 2016 National Survey on Drug Use and Health: Detailed Tables. Table 1.28A. Retrieved from https://www.samhsa.gov/data/sites/default/files/NSDUH-DetTabs-2016/NSDUH-DetTabs-2016.pdf on October 25, 2017.",
271,PresComReport,66,243,Article,,,WOS:000390074000038,27544696,,"Cicero TJ, Ellis MS, Kasper ZA. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav. 2017 Feb;65:242-244.",
272,PresComReport,67,311,Article,,,WOS:000410935700053,28640680,,"Jarlenski M, Barry CL, Gollust S, Graves AJ, Kennedy-Hendricks A, Kozhimannil K. Polysubstance Use Among US Women of Reproductive Age Who Use Opioids for Nonmedical Reasons. Am J Public Health. 2017 Aug;107(8):1308-1310.",
273,PresComReport,68,345,Article,,10.1002/hup.2625,,28750478,,"McCabe SE, West BT, Jutkiewicz EM, Boyd CJ. Multiple DSM-5 substance use disorders: A national study of US adults. Hum Psychopharmacol. 2017 Sep;32(5). [e-pub July 2017]",
274,PresComReport,69,286,Article,,,WOS:000362647800014,26461997,,"Han B, Compton WM, Jones CM, Cai R. 2015. Nonmedical prescription opioid use and use disorders among adults aged 18 through 64 years in the United States, 2003-2013. JAMA 314(14):1468-78.",
275,PresComReport,70,227,Article,,,WOS:000371837200016,26785634,,"Carlson RG, Nahhas RW, Martins SS, Daniulaityte R. 2016. Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:127- 34.",
276,PresComReport,71,249,Article,,,WOS:000253957600021,17581533,,"Comer SD, Sullivan MA, Whittington RA, Vosburg SK, Kowalczyk WJ. 2008. Abuse liability of prescription opioids compared to heroin in morphine-maintained heroin abusers. Neuropsychopharmacology 33(5):1179-91.",
277,PresComReport,72,388,Article,,,WOS:000414381400009,28711636,,"Shah A, Hayes CJ, Martin BC. 2017. Factors influencing long-term opioid use among opioid naive patients: An examination of initial prescription characteristics and pain etiologies. J Pain [Epub ahead of print].",
278,PresComReport,73,397,Article,,,WOS:000393267300007,28017184,,"Stumbo SP, Yarborough BJ, McCarty D, Weisner C, Green CA. 2017. Patient-reported pathways to opioid use disorders and pain-related barriers to treatment engagement. J Subst Abuse Treat 73:47-54.",
279,PresComReport,74,335,Article,,,WOS:000314461300002,22786464,,"Manchikanti L, Helm S II, Fellows B, et al. 2012. Opioid epidemic in the United States. Pain Physician 15:Suppl:ES9-38.",
280,PresComReport,75,206,Article,,,WOS:000390074000033,27639956,,"Arria AM, Compton WM. 2017. Complexities in understanding and addressing the serious public health issues related to the nonmedical use of prescription drugs. Addict Behav 65:215-217.",
281,PresComReport,76,227,Article,,,WOS:000371837200016,26785634,,"Carlson RG, Nahhas RW, Martins SS, Daniulaityte R. 2016. Predictors of transition to heroin use among initially non-opioid dependent illicit pharmaceutical opioid users: A natural history study. Drug Alcohol Depend 160:127- 34.",
282,PresComReport,77,252,Article,,,WOS:000367996700010,26760086,,"Compton WM, Jones CM, Baldwin GT. 2016. Relationship between nonmedical prescription-opioid use and heroin use. N Engl J Med 374(2):154-63.",
283,PresComReport,78,251,Article,,,WOS:000373085500026,27028930,,"Compton WM, Jones CM, Baldwin GT. 2016. Nonmedical prescription-opioid use and heroin use. N Engl J Med 374(13):1296.",
284,PresComReport,79,354,Report,,,,,,"Muhuri PK, Gfroerer JC, Davies C. 2013, August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical-pain-reliever-use-2013.pdf.",
285,PresComReport,80,203,Article,,,WOS:000390074000035,27569698,,"Al-Tayyib AA, Koester S, Riggs P. 2017. Prescription opioids prior to injection drug use: Comparisons and public health implications. Addict Behav 65:224-228. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
286,PresComReport,81,252,Article,,,WOS:000367996700010,26760086,,"Compton WM, Jones CM, Baldwin GT. 2016. Relationship between nonmedical prescription-opioid use and heroin use. N Engl J Med 374(2):154-63.",
287,PresComReport,82,354,Report,,,,,,"Muhuri PK, Gfroerer JC, Davies C. 2013, August. Associations of nonmedical pain reliever use and initiation of heroin use in the United States. CBHSQ Data Review. Available at http://archive.samhsa.gov/data/2k13/DataReview/DR006/nonmedical-pain-reliever-use-2013.pdf",
288,PresComReport,83,235,Article,,,WOS:000363540200023,26054942,,"Cerdá M, Santaella J, Marshall BD, Kim JH, Martins SS. 2015. Nonmedical prescription opioid use in childhood and early adolescence predicts transitions to heroin use in young adulthood: A national study. J Pediatr 167(3):605-12.",
289,PresComReport,84,302,Website/Data,,,,,,https://www.cdc.gov/vitalsigns/heroin/infographic.html#graphic,
290,PresComReport,85,242,Article,,,WOS:000407536100010,28582659,,"Cicero TJ, Ellis MS, Kasper ZA. 2017. Increased use of heroin as an initiating opioid of abuse. Addict Behav 74:63-66.",
291,PresComReport,86,243,Article,,,WOS:000390074000038,27544696,,"Cicero TJ, Ellis MS, Kasper ZA. 2017. Psychoactive substance use prior to the development of iatrogenic opioid abuse: A descriptive analysis of treatment-seeking opioid abusers. Addict Behav 65:242-244.",
292,PresComReport,87,340,Article,,,WOS:000400464300008,28355458,,"Martins SS, Sarvet A, Santaella-Tenorio J, Saha T, Grant BF, Hasin DS. 2017. Changes in lifetime heroin use and heroin use disorder: Prevalence from the 2001-2002 to 2012-2013 National Epidemiologic Survey on Alcohol and Related Conditions. JAMA Psychiatry 74(5):445-455",
293,PresComReport,88,242,Article,,,WOS:000407536100010,28582659,,"Cicero TJ, Ellis MS, Kasper ZA. Increased use of heroin as an initiating opioid of abuse. Addict Behav. 2017 Nov;74:63-66",
294,PresComReport,89,292,Article,,,WOS:000351441700003,25747921,,"Hser YI, Evans E, Grella C, Ling W, Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.",
295,PresComReport,90,263,Article,,,WOS:000285205000009,21054613,,"Degenhardt L, Bucello C, Mathers B, Briegleb C, Ali H, Hickman M, McLaren J. Mortality among regular or dependent users of heroin and other opioids: a systematic review and meta-analysis of cohort studies. Addiction. 2011 Jan;106(1):32-51.",
296,PresComReport,91,380,Article,,,WOS:000184494700007,12873239,,"Robins LN, Slobodyan S. Post-Vietnam heroin use and injection by returning US veterans: clues to preventing injection today. Addiction 2003; 98: 1053–60.",
297,PresComReport,92,379,Article,,,WOS:A1974S718200001,4818714,,"Robins LN, Davis DH, Goodwin DW. Drug use by U.S. Army enlisted men in Vietnam: a follow-up on their return home. Am J Epidemiol 1974; 99: 235–49.",
298,PresComReport,93,282,Article,,,WOS:000296173800024,21549528,,"Grella CE, Lovinger K. 30-year trajectories of heroin and other drug use among men and women sampled from methadone treatment in California. Drug Alcohol Depend 2011; 118: 251–8.",
299,PresComReport,94,294,Article,,,WOS:000245291600007,17439868,,Hser YI. Predicting long-term stable recovery from heroin addiction: findings from a 33-year follow-up study. J Addict Dis 2007; 26: 51–60.,
300,PresComReport,95,386,Article,,,WOS:000257232300005,18543361,,"Scherbaum N, Specka M. Factors influencing the course of opiate addiction. Int J Methods Psychiatr Res 2008; 17 suppl 1: S39–44.",
301,PresComReport,96,292,Article,,,WOS:000351441700003,25747921,,"Hser YI, Evans E, Grella C, Ling W, Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.",
302,PresComReport,97,414,Article,,,WOS:A1983QU97900005,,,Waldorf D. Natural recovery from opiate addiction: some social-psychological processes of untreated recovery. J Drug Issues 1983; 13: 237–80.,
303,PresComReport,98,292,Article,,,WOS:000351441700003,25747921,,"Hser YI, Evans E, Grella C, Ling W, Anglin D. Long-term course of opioid addiction. Harv Rev Psychiatry. 2015 Mar-Apr;23(2):76-89.",
304,PresComReport,99,378,Article,,,WOS:000369518300011,26428361,,"Ries R, Krupski A, West II, Maynard C, Bumgardner K, Donovan D, Dunn C, Roy-Byrne P. 2015. Correlates of opioid use in adults with self-reported drug use recruited rrom public safety-neet primary care clinics. J Addict Med 9(5):417-26.",
305,PresComReport,100,347,Article,,,WOS:000390074000045,27575980,,"McHugh RK, Votaw VR, Bogunovic O, Karakula SL, Griffin ML, Weiss RD. 2017. Anxiety sensitivity and nonmedical benzodiazepine use among adults with opioid use disorder. Addict Behav 65:283-288.",
306,PresComReport,101,384,Article,,,WOS:A1996VL99200014,8902071,,"Scheidegger C, Zimmerli W. Incidence and spectrum of severe medical complications among hospitalized HIVseronegative and HIV seropositive narcotic drug users. AIDS 1996;10:1407–14. DRAFT/ADVISORY/CONSULTATIVE/DELIBERATIVE/CONFIDENTIAL",
307,PresComReport,102,381,Article,,,WOS:000375796700012,27140989,,"Ronan MV, Herzig SJ. Hospitalizations related to opioid abuse/ dependence and associated serious infections increased sharply, 2002–12. Health Aff (Millwood) 2016;35:832–7.",
308,PresComReport,103,402,Article,,,WOS:000344646700010,25114031,,"Suryaprasad AG, White JZ, Xu F, Eichler BA, Hamilton J, Patel A, Hamdounia SB, Church DR, Barton K, Fisher C, Macomber K, Stanley M, Guilfoyle SM, Sweet K, Liu S, Iqbal K, Tohme R, Sharapov U, Kupronis BA, Ward JW, Holmberg SD. Emerging epidemic of hepatitis C virus infections among young nonurban persons who inject drugs in the United States, 2006-2012. Clin Infect Dis. 2014 Nov 15;59(10):1411-9.",
309,PresComReport,104,271,Article,,,WOS:000402875400001,28594786,,"Fleischauer AT, Ruhl L, Rhea S, Barnes E. 2017. Hospitalizations for endocarditis and associated health care costs among persons with diagnosed drug dependence - North Carolina, 2010-2015. Morb Mortal Wkly Rep 66(22):569-573.",
310,PresComReport,105,223,Article,,,WOS:000340173600001,24990587,,"Broz D, Wejnert C, Pham HT, DiNenno E, Heffelfinger JD, Cribbin M, Krishna N, Teshale EH, Paz-Bailey G; National HIV Behavioral Surveillance System Study Group. HIV infection and risk, prevention, and testing behaviors among injecting drug users -- National HIV Behavioral Surveillance System, 20 U.S. cities, 2009. MMWR Surveill Summ. 2014 Jul 4;63(6):1-51.",
311,PresComReport,106,209,Article,,,WOS:000311500500008,23052964,,"Bach AG, Jordan B, Wegener NA, Rusner C, Kornhuber M, Abbas J, Surov A. 2012. Heroin spongiform leukoencephalopathy (HSLE). Clin Neuroradiol 22(4):345-9.",
312,PresComReport,107,219,Article,,10.1097/01.rmr.0000192154.34563.6b,,16340648,,"Borne J, Riascos R, Cuellar H, Vargas D, Rojas R. 2005. Neuroimaging in drug and substance abuse part II: opioids and solvents. Top Magn Reson Imaging 16(3):239-45.",
313,PresComReport,108,268,Article,,,WOS:000399659500003,28095255,,"Fareed A, Kim J, Ketchen B, Kwak WJ, Wang D, Shongo-Hiango H, Drexler K. 2017. Effect of heroin use on changes of brain functions as measured by functional magnetic resonance imaging, a systematic review. J Addict Dis 36(2):105-116.",
314,PresComReport,109,324,Article,,,WOS:000392356700014,27742371,,"Lefaucheur R, Lebas A, Gérardin E, Grangeon L, Ozkul-Wermester O, Aubier-Girard C, Martinaud O, Maltête D. 2017. Leucoencephalopathy following abuse of sniffed heroin. J Clin Neurosci 35:70-72.",
315,PresComReport,110,253,Article,,,WOS:000406975400012,28612362,,"Corr TE, Hollenbeak CS. 2017. The economic burden of neonatal abstinence syndrome in the United States. Addiction 112(9):1590-1599.",
