pmid_int,wos_id,grant_number,grant_organization,country,Agencies,,
21926416,WOS:000297242100020,552498,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
21926416,WOS:000297242100020,442981,Australian National Health and Medical Research Council (NHMRC),Australia,1,,
19535339,WOS:000268783700016,DP0773555,Australian Research Council,Australia,2,,
19297406,WOS:000264391600002,DP0771169,Australian Research Council,Australia,2,,
21199646,WOS:000291232200013,ARC-DP0771169,Australian Research Council,Australia,2,,
18718768,WOS:000259708900018,400489,C.J. Martin Overseas Fellowship,Australia,3,,
22080950,WOS:000298031900042,1011143,Cancer Australia,Australia,4,,
22080950,WOS:000298031900042,77/00,Cancer Council New South Wales,Australia,5,,
21926416,WOS:000297242100020,77/00,Cancer Council New South Wales,Australia,5,,
22080950,WOS:000298031900042,10-Jun,Cancer Council New South Wales,Australia,5,,
21926416,WOS:000297242100020,10-Jun,Cancer Council New South Wales,Australia,5,,
21926416,WOS:000297242100020,371,Cancer Council Queensland,Australia,5,,
22080950,WOS:000298031900042,371,Cancer Council Queensland,Australia,5,,
19276262,WOS:000264511000041,433626,Cancer Council Victoria,Australia,5,,
19887461,WOS:000272463600013,10-Jun,"Cancer Councils of New South Wales, Victoria",Australia,5,,
19887461,WOS:000272463600013,77/00,"Cancer Councils of New South Wales, Victoria",Australia,5,,
21343559,WOS:000288990100019,05/TPG/1-01,Cancer Institute New South Wales (NSW),Australia,5,,
22080950,WOS:000298031900042,10/ECF/2-06,Cancer Institute NSW,Australia,5,,
19432811,WOS:000274179300089,433615,National Health & Medical Research Council of Australia,Australia,1,,
19047637,WOS:000261706600069,AI454595,National Health and Medical Research Council,Australia,1,,
19239902,WOS:000263710500006,461263,National Health and Medical Research Council,Australia,1,,
18949058,WOS:000260622600019,257502,National Health and Medical Research Council,Australia,1,,
19047637,WOS:000261706600069,AI454312,National Health and Medical Research Council,Australia,1,,
19239902,WOS:000263710500006,257502,National Health and Medical Research Council,Australia,1,,
18949058,WOS:000260622600019,40667S,National Health and Medical Research Council,Australia,1,,
19239902,WOS:000263710500006,356214,National Health and Medical Research Council,Australia,1,,
19047637,WOS:000261706600069,AI508929,National Health and Medical Research Council,Australia,1,,
18779347,WOS:000259656700013,512413,National Health and Medical Research Council (NHMRC),Australia,1,,
18779347,WOS:000259656700013,253771,National Health and Medical Research Council (NHMRC),Australia,1,,
19515997,WOS:000270097200037,400174,National Health and Medical Research Council (NHMRC),Australia,1,,
21983785,WOS:000296584000016,389875,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,442915,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,552498,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,442981,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,402761,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,443036,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,107359,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,496610,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,339462,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,241944,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,200071,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,389892,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,389938,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,389891,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,496675,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,496739,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,552485,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,380385,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21983785,WOS:000296584000016,389927,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
18843795,WOS:000259307000014,402761,National Health and Medical Research Council (NHMRC) of Australia,Australia,1,,
21343559,WOS:000288990100019,402761,National Health and Medical Research Council of Australia,Australia,1,,
18754039,WOS:000262655600019,199600,National Health and Medical Research Council of Australia,Australia,1,,
19710684,WOS:000273841300028,389875,National Health and Medical Research Council of Australia,Australia,1,,
19297406,WOS:000264391600002,511191,National Health and Medical Research Council of Australia,Australia,1,,
19297406,WOS:000264391600002,552485,National Health and Medical Research Council of Australia,Australia,1,,
18953432,WOS:000259889800008,402761,National Health and Medical Research Council of Australia,Australia,1,,
21199646,WOS:000291232200013,NHMRC-511191,National Health and Medical Research Council of Australia,Australia,1,,
19710684,WOS:000273841300028,NHMRC 241944,National Health and Medical Research Council of Australia,Australia,1,,
21199646,WOS:000291232200013,NHMRC-552485,National Health and Medical Research Council of Australia,Australia,1,,
18754039,WOS:000262655600019,442973,National Health and Medical Research Council of Australia,Australia,1,,
19589783,WOS:000269380200028,455251,National Health and Medical Research Council of Australia,Australia,1,,
19710684,WOS:000273841300028,389891,National Health and Medical Research Council of Australia,Australia,1,,
19212341,WOS:000268644100019,402761,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
19887461,WOS:000272463600013,402761,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
19887461,WOS:000272463600013,107359,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
21430066,WOS:000290610900012,454569,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
20157537,WOS:000276401300005,402761,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
20478260,WOS:000277623600023,402761,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
19887461,WOS:000272463600013,211172,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
20924111,WOS:000282879900008,454569,National Health and Medical Research Council of Australia (NHMRC),Australia,1,,
20117879,WOS:000278155900001,510238,"National Health and Medical Research Council, Australia",Australia,1,,
18767946,WOS:000259334600015,223316,NH&MRC R Douglas Wright Fellow,Australia,8,,
22080950,WOS:000298031900042,107359,NHMRC,Australia,1,,
21926416,WOS:000297242100020,613705,NHMRC,Australia,1,,
22080950,WOS:000298031900042,402761,NHMRC,Australia,1,,
21926416,WOS:000297242100020,496674,NHMRC,Australia,1,,
22080950,WOS:000298031900042,566946,NHMRC,Australia,1,,
21983785,WOS:000296584000016,613705,NHMRC,Australia,1,,
20635392,WOS:000288176600008,487925,NHMRC,Australia,1,,
21983785,WOS:000296584000016,496674,NHMRC,Australia,1,,
21199646,WOS:000291232200013,NHMRC-511029,NHMRC,Australia,1,,
19887461,WOS:000272463600013,520018,NHMRC,Australia,1,,
22080950,WOS:000298031900042,520018,NHMRC,Australia,1,,
21926416,WOS:000297242100020,520018,NHMRC,Australia,1,,
22080950,WOS:000298031900042,211172,NHMRC,Australia,1,,
21554088,WOS:000293560700005,1010386,NHMRC,Australia,1,,
21983785,WOS:000296584000016,520018,NHMRC,Australia,1,,
19377055,WOS:000267226500043,2008: 457281,NHMRC Population Health Capacity Building,Australia,1,,
19887461,WOS:000272463600013,371,Queensland,Australia,0,,
19887461,WOS:000272463600013,ECSG07_010,Victorian Cancer Agency Early Career Seed Grant,Australia,6,,
19447871,WOS:000266282600028,12687,"""Jubilaumsfonds"" of the Austrian National Bank",Austria,1,,
19562257,WOS:000271503100011,12268,Anniversary Fund of the Osterreichische Nationalbank,Austria,1,,
20141840,WOS:000273826500017,GZ 200.147/1-VI/1a/2006,Austrian Federal Government's GEN-AU,Austria,5,,
20047953,WOS:000279473100001,WK-01,Austrian National Research Fund,Austria,6,,
20047953,WOS:000279473100001,P19530-B11,Austrian National Research Fund,Austria,6,,
21622859,WOS:000291799300022,SFB F1814,Austrian Science Foundation (Fonds zur Forderung der Wissenschaftlichen Forschung),Austria,2,,
21622859,WOS:000291799300022,SFB F1813,Austrian Science Foundation (Fonds zur Forderung der Wissenschaftlichen Forschung),Austria,2,,
21622859,WOS:000291799300022,SFB F2308,Austrian Science Foundation (Fonds zur Forderung der Wissenschaftlichen Forschung),Austria,2,,
20141840,WOS:000273826500017,DK W1212,Austrian Science Fund,Austria,2,,
20141840,WOS:000273826500017,FWF-P18421,Austrian Science Fund,Austria,2,,
20141840,WOS:000273826500017,FWF-P18782,Austrian Science Fund,Austria,2,,
20141840,WOS:000273826500017,SFB-23-B13,Austrian Science Fund,Austria,2,,
19208839,WOS:000263399100014,S9404-B11,Austrian Science Fund (FWF),Austria,2,,
19165151,WOS:000263968900014,S-9304-B05,Fonds zur Forderung der wissenschaftlichen Forschung (Austria),Austria,2,,
18464797,WOS:000258531900018,S-9304-B05,Fonds zur Forderung der wissenschaftlichen Forschung (Austria),Austria,2,,
19088033,WOS:000261782600025,2323,Fund of the Mayor of the City of Vienna,Austria,3,,
11292679,WOS:000167959300024,P14186,FWF,Austria,2,,
11292679,WOS:000167959300024,P14109,FWF,Austria,2,,
19219045,WOS:000263906000012,T196,FWF,Austria,2,,
19219045,WOS:000263906000012,P19530,FWF,Austria,2,,
19636003,WOS:000269381100016,10935,Jubilaumsfonds of the Austrian National Bank,Austria,1,,
21083380,WOS:000284832900006,12480,Jubilaumsfonds of the Oesterreichische Nationalbank,Austria,1,,
21083380,WOS:000284832900006,13837,Jubilaumsfonds of the Oesterreichische Nationalbank,Austria,1,,
21414849,WOS:000290063100013,8028,Medical-Scientific Fund of the Major of Vienna,Austria,4,,
21059953,WOS:000284529000076,EF/05/015,Centers of Excellence of Katholieke Universiteit Leuven,Belgium,5,,
20307269,WOS:000277152100001,1251504,Concerted Research Initiative of the Ghent University,Belgium,9,,
19720113,WOS:000274665700007,G.0661.09,F.W.O Flanderen,Belgium,8,,
21059953,WOS:000284529000076,IWT70050,Flemish government,Belgium,8,,
20823910,WOS:000282152800013,BOF09/01M00709,Flemish Government,Belgium,8,,
21059953,WOS:000284529000076,G-485-08,Fonds voor Wetenschappelijk Onderzoek,Belgium,7,,
19509176,WOS:000267080800021,G.0510.06,Fonds voor Wetenschappelijk Onderzoek Vlaanderen,Belgium,7,,
20086250,WOS:000275981900017,FWO-V1,Fonds voor Wetenschappelijk Onderzoek Vlaanderen,Belgium,7,,
19509176,WOS:000267080800021,G.0286.05,Fonds voor Wetenschappelijk Onderzoek Vlaanderen,Belgium,7,,
20823910,WOS:000282152800013,3G.0218.06,Fonds voor Wetenschappelijk Onderzoek Vlaanderen (FWO),Belgium,7,,
20823910,WOS:000282152800013,G.0133.05,Fonds voor Wetenschappelijk Onderzoek Vlaanderen (FWO),Belgium,7,,
20933294,WOS:000286124200017,G.0667.07,FWO,Belgium,7,,
20933294,WOS:000286124200017,KAN 1.5163.09,FWO,Belgium,7,,
20307269,WOS:000277152100001,G.0011.03,FWO Vlaanderen,Belgium,7,,
20307269,WOS:000277152100001,G.0195.09N,FWO Vlaanderen,Belgium,7,,
20307269,WOS:000277152100001,G0343.01N,FWO Vlaanderen,Belgium,7,,
19720113,WOS:000274665700007,IAP6/18,Interuniversity Attraction Poles Programme,Belgium,6,,
20307269,WOS:000277152100001,P6/35,Interuniversity Attraction Poles programme (IUAP) - Belgian state - Belgian Science Policy,Belgium,6,,
20823910,WOS:000282152800013,IAP6/18,Interuniversity Poles of Attraction-Belgian Science Policy,Belgium,6,,
19720113,WOS:000274665700007,OT49/06,K.U.Leuven,Belgium,5,,
18802697,WOS:000262966600011,616476,Marshall Programme of the Walloon Region,Belgium,4,,
20086250,WOS:000275981900017,GOA48,Onderzoeksraad Vrije Universiteit Brussel,Belgium,3,,
20086250,WOS:000275981900017,OZR-VUB,Onderzoeksraad Vrije Universiteit Brussel,Belgium,3,,
18753414,WOS:000260977900026,616476,Region Wallonne,Belgium,2,,
20819925,WOS:000282649800008,GOA 01G01009,University of Ghent,Belgium,1,,
19591684,WOS:000269147600001,0860-08-5,"CAPES, Brazil",Brazil,1,,
18692948,WOS:000261297800016,01/02908-2,FAPESP,Brazil,2,,
18692948,WOS:000261297800016,03/01019-5,FAPESP,Brazil,2,,
19148501,WOS:000262679300006,06/51401-1,Fundaqao de Amparo a Pesquisa do Estado de Sao Paulo-FAPESP,Brazil,2,,
20858880,WOS:000282007900020,6/59737-9,Sao Paulo State Research Foundation (Fundacao de Amparo a Pesquisa do Estado de Sao Paulo),Brazil,2,,
19488062,WOS:000270782300009,TK-X-1710/07,Bulgarian National Science Fund,Bulgaria,1,,
19488062,WOS:000270782300009,VU-L-314/07,Bulgarian National Science Fund,Bulgaria,1,,
19342663,WOS:000265004700046,MOP81145,C.I.H.R. operating Grant,Canada,1,,
21085676,WOS:000284036800025,19361,Canadian Breast Cancer Research Alliance,Canada,2,,
19792975,WOS:000270890100023,16506,"Canadian Breast Cancer Research Alliance, Cancer Research Society",Canada,2,,
20543982,WOS:000278494900015,18119,Canadian Cancer Society,Canada,3,,
21083380,WOS:000284832900006,19055,Canadian Cancer Society,Canada,3,,
19402094,WOS:000268511400011,18124,Canadian Cancer Society,Canada,3,,
19632716,WOS:000268815200021,NCIC10362,Canadian Cancer Society,Canada,3,,
19727074,WOS:000270082900044,18046,Canadian Cancer Society,Canada,3,,
20085777,WOS:000277312400010,17076,Canadian Cancer Society Research Institute,Canada,3,,
19920194,WOS:000272362800024,MOP-15017.C,Canadian Institute for Health Research,Canada,1,,
19668193,WOS:000269979200024,MOP-15017,Canadian Institute of Health Research,Canada,1,,
19909353,WOS:000271057600003,MOP81145,Canadian Institute of Health Research (C.I.H.R),Canada,1,,
19727074,WOS:000270082900044,MOP-36399,Canadian Institutes for Health Research,Canada,1,,
19843174,WOS:000272836100002,CIHR MT-14405,Canadian Institutes for Health Research,Canada,1,,
19898481,WOS:000272144900013,MOP79321,Canadian Institutes for Health Research,Canada,1,,
19898481,WOS:000272144900013,IIN-84042,Canadian Institutes for Health Research,Canada,1,,
19792975,WOS:000270890100023,42511,Canadian Institutes of Health,Canada,1,,
21083380,WOS:000284832900006,MOP-79511,Canadian Institutes of Health Research,Canada,1,,
20382831,WOS:000281905200014,216377,Canadian Institutes of Health Research,Canada,1,,
15507160,WOS:000208518900006,GSP-48371,Canadian Institutes of Health Research,Canada,1,,
20133479,WOS:000276784800010,MOP 12954,Canadian Institutes of Health Research,Canada,1,,
20195696,WOS:000278111400003,MOP-84559,Canadian Institutes of Health Research,Canada,1,,
19933857,WOS:000272861300012,MOP-57831,Canadian Institutes of Health Research,Canada,1,,
21159651,WOS:000285334200035,MOP89714,Canadian Institutes of Health Research,Canada,1,,
20133479,WOS:000276784800010,MOP 82904,Canadian Institutes of Health Research,Canada,1,,
20382831,WOS:000281905200014,218649,Canadian Institutes of Health Research,Canada,1,,
20304630,WOS:000277906900002,42511,Canadian Institutes of Health Research,Canada,1,,
20195696,WOS:000278111400003,MOP-93810,Canadian Institutes of Health Research,Canada,1,,
20382831,WOS:000281905200014,216376,Canadian Institutes of Health Research,Canada,1,,
19338001,WOS:000266137700007,MOP-67066,Canadian Institutes of Health Research,Canada,1,,
21368758,WOS:000288444000045,178536,Canadian Institutes of Health Research,Canada,1,,
19581636,WOS:000269038900001,MCT-78777,Canadian Institutes of Health Research,Canada,1,,
20019837,WOS:000272474000005,MOP-64345,Canadian Institutes of Health Research,Canada,1,,
15507160,WOS:000208518900006,MT-11630,Canadian Institutes of Health Research,Canada,1,,
19124736,WOS:000262390600022,PAN 83156,Canadian Institutes of Health Research (CIHR),Canada,1,,
20200537,WOS:000275932700012,MOP-74648,Canadian Institutes of Health Research (CIHR),Canada,1,,
19124736,WOS:000262390600022,MOP 84419,Canadian Institutes of Health Research (CIHR),Canada,1,,
20200537,WOS:000275932700012,IG1-14052,Canadian Institutes of Health Research (CIHR),Canada,1,,
18829569,WOS:000260029900049,MOP-86493,Canadian Institutes of Health Research/CBCRA,Canada,1,,
20541699,WOS:000278952300006,PPP90150,Canadian Institutes of Health Science,Canada,4,,
20541699,WOS:000278952300006,MOP89902,Canadian Institutes of Health Science,Canada,4,,
20541699,WOS:000278952300006,MOP79308,Canadian Institutes of Health Science,Canada,4,,
18673534,WOS:000258550000001,MEST-CT-2005-020970,CANCURE Programme,Canada,5,,
19198628,WOS:000264537400001,MOP-67208,CIHR,Canada,1,,
19351846,WOS:000265314900027,MOP-84325,CIHR,Canada,1,,
20638713,WOS:000281266800032,RAA-79918,CIHR,Canada,1,,
20638713,WOS:000281266800032,MOP-79297,CIHR,Canada,1,,
NA,WOS:000279398900007,MOP-15017,CIHR,Canada,1,,
19001139,WOS:000261295300011,HOP-81735,CIHR Operating,Canada,1,,
19078957,WOS:000262852200045,MOP-79511,"Melanoma Research Alliance, the Canadian Institutes of Health Research",Canada,6,,
19581636,WOS:000269038900001,6126,Ontario Ministry of Health and Long-Term Care,Canada,7,,
19898481,WOS:000272144900013,RE01061,Ontario Research Fund,Canada,7,,
19727074,WOS:000270082900044,19684,Research Fellow of The Terry Fox Foundation,Canada,8,,
21368758,WOS:000288444000045,19001,Terry Fox Foundation,Canada,8,,
19074353,WOS:000261608300049,1060253,"ARC, Fondecyt (Chile)",Chile,1,,
19074353,WOS:000261608300049,1060834,"ARC, Fondecyt (Chile)",Chile,1,,
19526360,WOS:000270869000008,15010006,FONDAP,Chile,2,,
19147248,WOS:000264145600001,1060790,FONDECYT,Chile,3,,
19074353,WOS:000261608300049,CO3S01,Gobierno de Chile,Chile,4,,
19526360,WOS:000270869000008,UCH9903,MECESUP,Chile,5,,
19526360,WOS:000270869000008,UCH0306,MECESUP,Chile,5,,
19139436,WOS:000263513000018,P04/030-F,Millennium Nucleus on Immunology and Immunotherapy,Chile,6,,
19139436,WOS:000263513000018,FONDECYT 1060935,National Fund for Scientific and Technological Development,Chile,3,,
19329213,WOS:000266384600019,2004CB518801,"""973"" Program",China,1,,
19329213,WOS:000266384600019,2007CB512404,"""973"" Program",China,1,,
20373055,WOS:000293792300006,RC2007075,135 Projects focus on Talent Foundation of Health Department of Jiangsu Province,China,2,,
20153795,WOS:000276972100009,2006CB933206,973 Program of China,China,1,,
19025118,WOS:000261025800009,2006CB504300,973 Program of China,China,1,,
20403730,WOS:000280222200015,7072017,Beijing Natural Science Foundation,China,3,,
19010848,WOS:000261014500021,D0206001041991,Beijing Science and Technology Program,China,3,,
19010848,WOS:000261014500021,Z00004105040311,Beijing Science and Technology Program,China,3,,
20403730,WOS:000280222200015,Z0005190041531,Beijing Science and Technology Program,China,3,,
21290212,WOS:000290206900005,81072669,China National Natural Sciences Foundation,China,4,,
21290212,WOS:000290206900005,81061160,China National Natural Sciences Foundation,China,4,,
20981092,WOS:000283548600039,2006AA02A302,Chinese 863 program,China,1,,
20981092,WOS:000283548600039,2006AA02Z334,Chinese 863 program,China,1,,
20981092,WOS:000283548600039,2009AA022707,Chinese 863 program,China,1,,
20981092,WOS:000283548600039,2006AA02Z177,Chinese 863 program,China,1,,
20514051,WOS:000281601600002,KSCX1-YW-22,Chinese Academy of Sciences,China,5,,
20514051,WOS:000281601600002,KSCX2-YW-R-146,Chinese Academy of Sciences,China,5,,
20079789,WOS:000276040800002,1/2/06,Chinese Academy of Sciences for Distinguished Young Scholars,China,5,,
19188168,WOS:000263213600027,107039,Chinese Ministry of Education,China,6,,
20350281,WOS:000282077900006,2008ZX10001-007,Chinese Ministry of Technology and Science,China,1,,
20007324,WOS:000275274800070,2006AA02A404,Chinese National 863 Program,China,1,,
20007324,WOS:000275274800070,2010CB912201,Chinese National 973 Program,China,1,,
20007324,WOS:000275274800070,2006CB910104,Chinese National 973 Program,China,1,,
19894759,WOS:000273267900021,2007AA021906,Chinese National Hi-Tech Research and Development Program,China,1,,
19894759,WOS:000273267900021,30772178,Chinese National Natural Science Foundation,China,4,,
19216806,WOS:000264475200002,2005BA5006,Chongqing Natural Science Foundation,China,17,,
18414853,WOS:000260369800002,6-2006-0030,CMB-YUHAN research grant of Yonsei University College of Medicine for 2006,China,0,,
19597336,WOS:000268983900024,XK200718,Construction Fund for Key Medical Subjects of Jiangsu Province,China,2,,
19811429,WOS:000271275000009,99M04903G,Department of Science and Technology of Guangdong Province,China,7,,
19074808,WOS:000265451000016,2004GG2202154,Department of Science and Technology of Shandong Province,China,8,,
21272332,WOS:000287518800001,2.01E+11,Doctor Dot Research Program of China,China,0,,
19188168,WOS:000263213600027,20060246075,Doctoral Fund of Ministry of Education of China,China,6,,
21785272,WOS:000295470800006,12511344,Education Department of Heilongjiang Province,China,9,,
15849812,WOS:000208098100007,200322,Educational Key Foundation of Hainan Province,China,10,,
19285639,WOS:000264616000014,2006AA02Z4A0,FE-tech Research and Development Program of China,China,1,,
21785272,WOS:000295470800006,2009Y08,found of the First Affiliated Clinic College of Harbin Medical University,China,0,,
19424617,WOS:000266185900008,200776,Foundation for the Author of National Excellent Doctoral Dissertation of China,China,0,,
19178978,WOS:000269989600003,RC2007113,Foundation of Jiangsu Key Researchers in Medical Science,China,2,,
19687765,WOS:000269495500007,RC2007113,Foundation of Jiangsu Key Researchers in Medical Science of China,China,2,,
19291698,WOS:000265478700012,20050486012,Foundation of Ministry of Education of China,China,6,,
21611754,WOS:000294219100003,Kebu 163,Fudan University,China,11,,
17987110,WOS:000207459000006,4300284,Guangdong Province Natural Fund,China,7,,
20007324,WOS:000275274800070,u0732005,Guangdong Province-National Natural Science Foundation of China,China,7,,
19602033,WOS:000282874000017,2007A195,Health Bureau of Zhejiang Province,China,12,,
20631481,WOS:000279585200002,XK18200904,Health Department of Jiangsu Province Open Foundation,China,2,,
20953187,WOS:000283540500020,2007AA02Z161,High-Tech Research and Development Program of China,China,1,,
19025118,WOS:000261025800009,JX1B074,Hubei Ministry of Public Health,China,13,,
19025118,WOS:000261025800009,2006ABD007,Hubei Province Science and Technology Department,China,13,,
19025118,WOS:000261025800009,2007ABC010,Hubei Province Science and Technology Department,China,13,,
19025118,WOS:000261025800009,2005AA304B04,Hubei Province Science and Technology Department,China,13,,
20414968,WOS:000275639700020,2007XG35,Innovation Project of Outstanding Young Scholar of Third Military Medical University,China,14,,
19918314,WOS:000208700600002,64107049,International collaborative project at Shanghai Municipal Science and Technology Commission,China,14,,
20501849,WOS:000278749600008,30911120482,International Cooperation and Exchange of the National Natural Science Foundation of China,China,4,,
20631481,WOS:000279585200002,BK2008477,Jiangsu Provincial Natural Science Foundation,China,2,,
19894759,WOS:000273267900021,7117362,Key Project of Guangdong Provincial Science and Technology Research,China,7,,
19481338,WOS:000271167700012,03JC14007,Major Basic Research Programs of Science and Technology Commission Foundation of Shanghai,China,1,,
18414668,WOS:000260867300017,2005CB523010,Major State Basic Research Development Program of China,China,1,,
18414668,WOS:000260867300017,2007CB512803,Major State Basic Research Development Program of China,China,1,,
19291698,WOS:000265478700012,2009CB522506,Major State Basic Research Development Program of China,China,1,,
19223090,WOS:000272370400005,2007CB947000,Major State Basic Research Development Program of China,China,1,,
19291698,WOS:000265478700012,2007CB512803,Major State Basic Research Development Program of China,China,1,,
20373055,WOS:000293792300006,H200712,Medical Development Foundation of Jiangsu Province,China,2,,
19200053,WOS:000263286000006,B07001,Ministry of Science and Technology of China,China,15,,
19264983,WOS:000264559800038,2006CB910901,Ministry of Science and Technology of China,China,15,,
20403730,WOS:000280222200015,2007BAI18B15,Ministry of Science and Technology of China,China,15,,
19200053,WOS:000263286000006,2006CB910300,Ministry of Science and Technology of China,China,15,,
19200053,WOS:000263286000006,2005CB522403,Ministry of Science and Technology of China,China,15,,
19098711,WOS:000263119700014,2007CB947100,Ministry of Science and Technology of China,China,15,,
19200053,WOS:000263286000006,2006AA02Z101,Ministry of Science and Technology of China,China,15,,
20682706,WOS:000280830300007,2006CB0D1702,Ministry of Science and Technology of China,China,15,,
15133843,WOS:000208096700004,2001AA221251,National 863 Program,China,1,,
19920775,WOS:000270270500006,2003CB515502,"National Basic Research Program (973 Program), China",China,1,,
19920775,WOS:000270270500006,2007CB513005,"National Basic Research Program (973 Program), China",China,1,,
20981092,WOS:000283548600039,2011CB809200,National Basic Research Program of China (973 program),China,1,,
21690468,WOS:000292819700020,CSTI571BCN18T,Novartis Oncology in China,China,22,,
17987110,WOS:000207459000006,30170872,NSF of China,China,16,,
20440270,WOS:000279108600001,30872587,NSFC,China,16,,
18828017,WOS:000263671400005,30771967,NSFC,China,16,,
19329213,WOS:000266384600019,30730086,"NSFC, China",China,16,,
19329213,WOS:000266384600019,30872372,"NSFC, China",China,16,,
19329213,WOS:000266384600019,30425025,"NSFC, China",China,16,,
15040024,WOS:000208096800010,200202,Nursery Foundation of Hainan Medical College,China,10,,
15849812,WOS:000208098100007,200202,Nursery Foundation of Hainan Medical College,China,10,,
20825419,WOS:000283158300013,2008BA5035,outstanding Youth Scientist Foundation of Chongqing,China,17,,
20022135,WOS:000280937200017,"CSTC, 2008BA5035",outstanding Youth Scientist Foundation of Chongqing,China,17,,
19918314,WOS:000208700600002,30728007,Outstanding Youth Scientist Investigator Project from National Natural Science Foundation of China,China,16,,
18414668,WOS:000260867300017,20050486012,Ph.D. Program Foundation of Ministry of Education of China,China,6,,
20153795,WOS:000276972100009,D14,"Program for Top Researchers in Six Fields in Jiangsu Province, China",China,2,,
21414236,WOS:000289067900001,07pj14080,program of PuJiang RenChen,China,0,,
19481338,WOS:000271167700012,30600730,Project of National Natural Scientific Foundation of China,China,15,,
21108851,WOS:000285144500001,J20070747,Research Fund for the Doctoral Program of Higher Education of China,China,6,,
17987110,WOS:000207459000006,30418003,Research Grant Council of Hong Kong joint research fund,China,3,,
