wos_id,grant_number,grant_organization,country,agencies
WOS:000269616200025,NS9488/3,Czech Ministry of Health,Czechia,2
WOS:000297454100004,NR8407-4/2005,Grant Agency of the Ministry of Health of Czech Republic,Czechia,2
WOS:000297454100004,MSM 0021620820,"Ministry of Education, Youth and Sports, Czech Republic",Czechia,3
WOS:000261685300020,504-14,Danish National Research Foundation,Denmark,1
WOS:000264565100030,272-05-0407,Danish Natural Science Research Council,Denmark,2
WOS:000281717600003,272-05-0407,Danish Natural Science Research Council,Denmark,2
WOS:000263990000007,274-05-0582,Danish Research Council for Technology and Production Sciences,Denmark,3
WOS:000292299700055,QLRI-CT-2002-02757,EC,EU,1
WOS:000271137700011,LSHM-CT-2005-018932,EU,EU,1
WOS:000266509200010,LSHM-CT-2005-018932,EU,EU,1
WOS:000285752400014,LSHM-CT-2005-018932,EU,EU,1
WOS:000270330400013,LSHM-CT-2004-503359,EU,EU,1
WOS:000305589800019,HEALTH-F2-2009-223062,EU,EU,1
WOS:000283548600039,242257,EU,EU,1
WOS:000259090800049,LSHM-CT-2006-037761 ( Project SGENE),EU grant,EU,1
WOS:000261588800008,FP6-512148,EU project EuroGentest,EU,1
WOS:000276328800002,INCO-CT-2006-031968,Euro Mediterranean Network for Genetic Services-Coordination Action,EU,1
WOS:000279029400003,LSHM-CT-2005-018932,EuroCareCF,EU,1
WOS:000266461700001,LSHM-CT-2005-018932,EuroCareCF,EU,1
WOS:000296429800002,FP6-512148,EuroGentest,EU,1
WOS:000279029400003,LSHB-CT-2004-512148,EuroGenTest NoE,EU,1
WOS:000279396600007,BIOMED 1 (CT94-1637),European Commission,EU,1
WOS:000286623800008,LSHM-CT-2004-005272,European Commission,EU,1
WOS:000279396600007,QLK2-2000-00773,European Commission,EU,1
WOS:000279396600007,LSHP-CT- 2006-018632,European Commission,EU,1
WOS:000276091800023,LSHM-CT-2004-503359,European Commission,EU,1
WOS:000273441000002,QLK2-2000-00773,European Commission,EU,1
WOS:000263091300012,QLG1-CT-2000-01643,European Commission,EU,1
WOS:000279396600007,BIOMED 2 (CT97-2713),European Commission,EU,1
WOS:000261726200009,MEXT-CT-2004-013666,European Commission,EU,1
WOS:000287580400051,213250,European Commission,EU,1
WOS:000294458300034,MEXT-CT-2004-013666,"European Commission (Brussels, Belgium)",EU,1
WOS:000266428700005,HEALTH-F2-2008-202013,European Community,EU,1
WOS:000290243500020,22313,European Community,EU,1
WOS:000265546200014,FP-7 200647,European Community,EU,1
WOS:000267785800018,2002-02119,European Community,EU,1
WOS:000299153200008,GA 201590,European Community,EU,1
WOS:000289509100010,223131,European Community,EU,1
WOS:000289509100010,FP7/2007-2013,European Community,EU,1
WOS:000298383500026,223131,European Community under Collaborative HIV and Anti-HIV Drug Resistance Network,EU,1
WOS:000298383500026,FP7/2007-2013,European Community under Collaborative HIV and Anti-HIV Drug Resistance Network,EU,1
WOS:000297279900020,FP7/2007-2013,European Community under Collaborative HIV and Anti-HIV Drug Resistance Network (CHAIN),EU,1
WOS:000297279900020,223131,European Community under Collaborative HIV and Anti-HIV Drug Resistance Network (CHAIN),EU,1
WOS:000291643800008,2008/14,European Hematology Association,EU,1
WOS:000299201400006,CRUK-A8274,"European Organisation for Research and Treatment of Cancer Melanoma Group, Cancer Research U.K. (CRUK)",EU,1
WOS:000299201400006,C107/A10433,"European Organisation for Research and Treatment of Cancer Melanoma Group, Cancer Research U.K. (CRUK)",EU,1
WOS:000290243500023,LSHP-CT-2006-518211,European Society,EU,1
WOS:000300466500002,223131,European Union,EU,1
WOS:000290243500020,260694,European Union,EU,1
WOS:000292068000013,LSHM-CT-2005-018932,European Union,EU,1
WOS:000264830100033,LSHC-CT-2005-518198,European Union,EU,1
WOS:000302132500014,260694,European Union,EU,1
WOS:000264830100033,LSHB-CT-2004-005242,European Union,EU,1
WOS:000300466500002,233847,European Union,EU,1
WOS:000272743800001,36903,European Union,EU,1
WOS:000260041400007,219250,European Union,EU,1
WOS:000260913800052,037665-CHEMORES,European Union (FP6 Integrated Project),EU,1
WOS:000266347500006,36903,European Union (STREP Savebeta),EU,1
WOS:000259594000001,LSHM-CT-2005-018630,"European Union, The HeartRepair",EU,1
WOS:000258936500018,CONSERT 005242,FP6 grant Concerted Safety and Efficacy Evaluation of Retroviral Transgenesis in Gene Therapy of Inherited Diseases,EU,1
WOS:000264062400003,110663,Academy of Finland,Finland,1
WOS:000278393400012,132473,Academy of Finland,Finland,1
WOS:000269374600009,13649,"EVO-funding, Turku University Central Hospital",Finland,2
WOS:000265712100034,110663,"Helsinki University Central Hospital Research Fund, Academy of Finland",Finland,3
WOS:000281646600009,ANRS-MONOI ANRS 136,"Agence Nationale de Recherche sur le SIDA et les Hepatites Virales, Paris, France",France,1
WOS:000259594000001,10633,Association Francaise Contre Les Myopathies,France,2
WOS:000296009500001,ANRS 1295,French National Agency for Research on AIDS and Viral Hepatitis,France,3
WOS:000261489300087,RGP31/2005,Human Frontier Science,France,4
WOS:000306130700009,BI20-3-01644,"Sidaction, France",France,5
WOS:000270330400013,01KI0411,BMBF,Germany,1
WOS:000283548600039,01GS08201,BMBF,Germany,1
WOS:000283548600039,PREDICT 0315428A,BMBF,Germany,1
WOS:000264613200007,01 GS0118,Bundesministerium fur Bildung und Forschung,Germany,1
WOS:000286055500016,0312708E,Bundesministerium fur Bildung und Forschung - Forschungszentrum Julich (BMBF/PTJ),Germany,1
WOS:000292982200003,SFB832,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000260273800031,DFG Bu2263/1-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000300719600005,DFG SFB699A6,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000264613200007,Re 471/11-2,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000268961100007,RE2246/1-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000266454800014,FR 2113/1-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000292982200003,TP6,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000266454800014,SCHO 1215/1-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000278694200004,KFO 130,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000286055500016,DFG - OL 100/3-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000261726200009,DFG MA 2081/3-2,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000308577600063,GK-1172,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000278694200004,NA350/3-2,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000278694200004,LA2740/2-1,Deutsche Forschungsgemeinschaft,Germany,2
WOS:000292982200003,107954,Deutsche Krebshilfe,Germany,3
WOS:000265271800012,KKF 1.1-05,"Deutsches Herzzentrum, Munich, Germany",Germany,4
WOS:000265271800012,984323,"Deutsches Herzzentrum, Munich, Germany",Germany,4
WOS:000286453600013,GK-1172,DFG,Germany,2
WOS:000259917200032,A7,DFG SFB699,Germany,2
WOS:000259917200032,A6,DFG SFB699,Germany,2
WOS:000259917200032,DFG KU 756/8-2,DFG SFB699,Germany,2
WOS:000292982200003,10.08.2.175,Fritz-Thyssen-Stiftung,Germany,5
WOS:000275824600004,70-2944,German Cancer Aid Society,Germany,3
WOS:000261112800009,313749,German Federal Ministry of Education and Research,Germany,1
WOS:000263091300013,NGFN-2,German Federal Ministry of Education and Research (National Genome Research Network,Germany,1
WOS:000270330400013,01 KI 0437,German Ministry of Education and Research,Germany,1
WOS:000292982200003,01GS08100,German Ministry of Science and Education,Germany,1
WOS:000263091300012,KFO152,German Research Council,Germany,2
WOS:000287580400030,FZT103,German Research Foundation,Germany,2
WOS:000263091300013,SA434/4-1,German Research Foundation,Germany,2
WOS:000294458300034,DFG MA2081/3-3,"German Research Foundation (Bonn, Germany)",Germany,2
WOS:000294458300034,MA 2081/4-1,"German Research Foundation (Bonn, Germany)",Germany,2
WOS:000308577600063,III L 4-518/17.004,Hessisches Ministerium fur Wissenschaft und Kunst,Germany,6
WOS:000292982200003,M.I.F.A.NEUR8061,Max Planck Society,Germany,7
WOS:000286055500016,BMBF/DLR-01GS0424/NHK-S12T21,National Genome Research Net Cardiovascular Diseases,Germany,1
WOS:000271225300013,BO 00334/08/5,Hungarian Academy of Sciences,Hungary,1
WOS:000271225300013,BO 00218/06,Hungarian Academy of Sciences,Hungary,1
WOS:000271225300013,PD78087,Hungarian Scientific Research Fund,Hungary,2
WOS:000271225300013,PF63951,Hungarian Scientific Research Fund,Hungary,2
WOS:000271225300013,K78311,Hungarian Scientific Research Fund,Hungary,2
WOS:000288701100008,2009/001,Brainwave-the Irish Epilepsy Association,Ireland,1
WOS:000269616200025,RFRD-05-07,Health Research Board Grant,Ireland,2
WOS:000291647200009,18FDG- PET/CT,Hadassah's Young Clinical Physician Award,Israel,1
WOS:000264830100033,1192,Associazione Italiana per la Ricerca sul Cancro,Italy,1
WOS:000292956800033,548/93,Azienda Ospedaliera di Verona,Italy,2
WOS:000276022600010,FFC 3/2006,Fondazione Italiana per la Ricerca sulla Fibrosi Cistica,Italy,3
WOS:000276022600010,FFC 3/2009,Fondazione Italiana per la Ricerca sulla Fibrosi Cistica,Italy,3
WOS:000269144500013,FFC 3/2006,Fondazione Italiana per la Ricerca sulla Fibrosi Cistica,Italy,3
WOS:000276022600010,FFC 2/2009,Fondazione Italiana per la Ricerca sulla Fibrosi Cistica,Italy,3
WOS:000273441000002,FIS 99/0887,Fondo de Investigacion Sanitaria,Italy,4
WOS:000267481100001,942bis/2007,Foridazione del Monte di Bologna e Ravenna,Italy,5
WOS:000271521000006,FFC 3/2007,Italian Cystic Fibrosis Research Foundation,Italy,3
WOS:000271521000006,FFC 3/2006,Italian Cystic Fibrosis Research Foundation,Italy,3
WOS:000292956800033,9-May,Italian Cystic Fibrosis Research Foundation-onlus,Italy,3
WOS:000267785800018,362/99,Italian Ministero della Sanita,Italy,4
WOS:000291965800015,548/93,Italian Ministry of Health,Italy,4
WOS:000269038900006,COFIN-PRIN 2002 prot. 2002061749,Italian Ministry of University,Italy,5
WOS:000269038900004,COFIN-PRIN 2002 prot. 2002061749,Italian Ministry of University,Italy,5
WOS:000269038900006,COFIN-PRIN 2006 prot. 2006062298,Italian Ministry of University,Italy,5
WOS:000269038900004,COFIN-PRIN 2006 prot. 2006062298,Italian Ministry of University,Italy,5
WOS:000271173100011,DCMC GO-1B1127-003,Italian Space Agency,Italy,6
WOS:000262963100010,A.179,Italian Telethon,Italy,7
WOS:000281561900010,L. 229/99,Regione Campania,Italy,8
WOS:000269144500013,GGP05103,Telethon Foundation,Italy,7
WOS:000260299100044,GGP05103,Telethon Foundation,Italy,7
WOS:000259594000001,CPDA054298,"University of Padova,",Italy,0
WOS:000267020800016,18923056,Japan Society for the Promotion of Science,Japan,1
WOS:000272839100011,21680034,"Ministry of Education, Culture, Sports, Science, and Technology of Japan",Japan,2
WOS:000270182700012,18207019,"Ministry of Education, Science, and Culture of Japan",Japan,2
WOS:000259902300052,Grants-in-Aid,"Ministry of Education, Sports and Culture of Japan, Japan Science and Technology Agency",Japan,2
WOS:000289714600025,"13-21, 17-15","Ministry of Health, Labor and Welfare of Japan",Japan,3
WOS:000289714600025,C 21591734,"Ministry of Health, Labor and Welfare of Japan",Japan,3
WOS:000270330400014,H19-kannen-013,"Ministry of Health, Labour, and Welfare of Japan",Japan,3
WOS:000258761200022,00-PJ3-PG6-GN07-001,Ministry of Health and Welfare of the Republic of Korea,Korea,1
WOS:000303455200028,R31-2008-000-10103-0,World Class University (WCU) of the National Research Foundation (NRF) at the Seoul National University,Korea,2
WOS:000260913800052,2002-2635,Dutch Cancer Society,Netherlands,1
WOS:000281176700005,2007-3772,Dutch Cancer Society,Netherlands,1
WOS:000281176700005,2008-4116,Dutch Cancer Society,Netherlands,1
WOS:000281176700005,2009-4429,Dutch Cancer Society,Netherlands,1
WOS:000269432200036,MLDS-WO 06-11,Dutch Digestive Disease Foundation,Netherlands,2
WOS:000260041400007,2008(1)34,Dutch Foundation for Brain Research,Netherlands,3
WOS:000265496600017,T1-103,Dutch Top Institute Pharma,Netherlands,4
WOS:000271121100001,D1.101,Dutch Top Institute Pharma,Netherlands,4
WOS:000265496600017,D1.101,Dutch Top Institute Pharma,Netherlands,4
WOS:000273441000002,CURE/97-46486,"Health Insurance Fund Council, Amstelveen, the Netherlands",Netherlands,5
WOS:000276689800021,LSBR0611,Landsteiner Foundation for Blood Transfusion Research,Netherlands,6
WOS:000263091300013,8-Apr,National Epilepsy Funds (NEF),Netherlands,7
WOS:000270707900020,050-060-810,Netherlands Genomics Initiative (NGI)/Netherlands Organization for Scientific Research (NWO),Netherlands,8
WOS:000260913800052,NWO-Veni 916.56.135,Netherlands Organization for Scientific Research,Netherlands,9
WOS:000276205000035,825.06.031,Netherlands Organization for Scientific Research,Netherlands,9
WOS:000263091300013,917.66.315,Netherlands Organization for Scientific Research (NOW),Netherlands,9
WOS:000292294900060,91209006,Netherlands Organization for Scientific Research (NWO),Netherlands,9
WOS:000270707900020,175.010.2005.011,Netherlands Organization of Scientific Research,Netherlands,9
WOS:000270707900020,911-03-012,Netherlands Organization of Scientific Research,Netherlands,9
WOS:000276205000035,TMF/DA/5801,Royal Netherlands Academy of Arts and Sciences,Netherlands,10
WOS:000262230700036,BBC 024,Tertiary Education Commission of NewZealand,New Zealand,1
WOS:000263556000010,175345,Mental Health program and PSYKISKHELSE,Norway,2
WOS:000287184700002,175345,Research Council of Norway,Norway,1
WOS:000263556000010,151904,Research Council of Norway,Norway,1
WOS:000299153200008,P6/05,Inter-university Attraction Pole (IUAP),Belgium,4
WOS:000268261400003,W-32,"Medical University of Gdansk, Poland",Poland,2
WOS:000274604600011,N301 165935,Polish State Committee for Scientific Research,Poland,3
WOS:000277636000004,P07-CVI-03100,Consejeri a de Innovacion Junta de Andalucia,Spain,1
WOS:000298377400002,PS09/00194,Fondo de Investigaciones Sanitarias,Spain,2
WOS:000275784700008,PI061183,Fondo de Investigaciones Sanitarias,Spain,2
WOS:000278575400002,PS09/00194,Fondo de Investigaciones Sanitarias,Spain,2
WOS:000278575400002,P1061183,Fondo de Investigaciones Sanitarias,Spain,2
WOS:000283840700003,API 10/13,Fundacion Marques de Valdecilla,Spain,3
WOS:000273441000002,FIPSE 3171/00,Fundacion para la Investigacion y la Prevencion del SIDA en Espana,Spain,4
WOS:000283840700003,FIS CP07/00008,Instituto de Salud Carlos III,Spain,5
WOS:000277636000004,RD06/0020/0013,Instituto de Salud Carlos III,Spain,5
WOS:000277636000004,PI 08/6080971,Instituto de Salud Carlos III,Spain,5
WOS:000264278800057,SAF 2008-00226,Ministerio de Ciencia e Innovacio,Spain,6
WOS:000279396600010,NCT00528892,Ministerio de Ciencia e Innovacion (Spain),Spain,6
WOS:000279396600010,2007-003401-27,Ministerio de Ciencia e Innovacion (Spain),Spain,6
WOS:000275784700008,EX-2007-1124,"Ministerio de Educacion y Ciencia, Spain",Spain,7
WOS:000274405800023,FEETEG,NA,Spain,8
WOS:000274405800023,FIS 04/2476,NA,Spain,9
WOS:000274405800023,FIS 05/0695,NA,Spain,9
WOS:000274405800023,EC07/90737,NA,Spain,0
WOS:000274405800023,CIBERER U-752,NA,Spain,0
WOS:000274405800023,FIS 06/1253,NA,Spain,0
WOS:000282468600003,FIS-RD06/0006,Red de Investigacion en SIDA (RIS),Spain,9
WOS:000279396600010,RIS G03/173,Red Tematica Cooperativa de Investigacion en SIDA,Spain,9
WOS:000300880600031,RD06/0020/0056,Red Tematica de Investigacion Cooperativa en Cancer,Spain,9
WOS:000278575400002,EX-2007-1124,Spanish Ministry of Education,Spain,7
WOS:000259828600020,SAF2004-07602,Spanish Ministry of Education,Spain,7
WOS:000269480400005,RD06/0020/0056,Spanish Ministry of Science and Innovation,Spain,6
WOS:000275784700008,OTRI2008/UEM14,Universidad Europea de Madrid,Spain,10
WOS:000275784700008,2007/UEM23,Universidad Europea de Madrid,Spain,10
WOS:000262558200014,2005-7703,Stockholm County Council,Sweden,1
WOS:000259090800050,FO 184/2000; 2001-2368,Swedish Council for Working Life and Social Research,Sweden,2
WOS:000272743800001,4-2008-376,Swedish Medical Research Council,Sweden,3
WOS:000262558200014,521-2005-4771,Swedish Research Council,Sweden,4
WOS:000305589800019,Medicine 523-2008-5568,Swedish Research Council,Sweden,4
WOS:000264176100005,4496,Swedish Science Council,Sweden,5
WOS:000266320100039,4496,Swedish Science Council/Medicine,Sweden,5
WOS:000287580400051,1262-06-2002,Oncosuisse,Switzerland,1
WOS:000297279900020,569,SHCS,Switzerland,2
WOS:000298383500026,470,SHCS,Switzerland,2
WOS:000289509100010,569,SHCS,Switzerland,2
WOS:000289509100010,470,SHCS,Switzerland,2
WOS:000298383500026,569,SHCS,Switzerland,2
WOS:000297279900020,470,SHCS,Switzerland,2
WOS:000298383500026,528,SHCS,Switzerland,2
WOS:000289509100010,528,SHCS,Switzerland,2
WOS:000297279900020,528,SHCS,Switzerland,2
WOS:000290243500020,569,SHCS Research Foundation,Switzerland,2
WOS:000290243500020,470,SHCS Research Foundation,Switzerland,2
WOS:000290243500020,528,SHCS Research Foundation,Switzerland,2
WOS:000297279900020,324730-130865,SNF,Switzerland,3
WOS:000290243500020,3247B0-112594,SNF,Switzerland,3
WOS:000297279900020,3247B0-112594,SNF,Switzerland,3
WOS:000290243500020,324730-130865,SNF,Switzerland,3
WOS:000276091800023,3.0599,Swiss Federal Office for Education and Sciences,Switzerland,4
WOS:000276091800023,543,Swiss HIV Cohort Study,Switzerland,5
WOS:000285344600048,310040-103671,Swiss National Foundation,Switzerland,3
WOS:000301333000006,33CS30_134277,Swiss National Science Foundation,Switzerland,3
WOS:000276091800023,32003B_127613/1,Swiss National Science Foundation,Switzerland,3
WOS:000276091800023,3347C0-108782/1,Swiss National Science Foundation,Switzerland,3
WOS:000293917000029,PMPDP3-122791/1,Swiss National Science Foundation,Switzerland,3
WOS:000276091800023,3100AO-116323/1,Swiss National Science Foundation,Switzerland,3
WOS:000294375700010,324730-116035,Swiss National Science Foundation,Switzerland,3
WOS:000287580400051,3100A0-107679,Swiss National Science Foundation,Switzerland,3
WOS:000276091800023,3347-069366,Swiss National Science Foundation,Switzerland,3
WOS:000293917000029,108787,Swiss National Science Foundation,Switzerland,3
WOS:000294375700010,-130865,Swiss National Science Foundation,Switzerland,3
WOS:000294375700010,3100A0-112670,Swiss National Science Foundation,Switzerland,3
WOS:000294375700010,33CS30-134277,Swiss National Science Foundation,Switzerland,3
WOS:000298383500026,PBEZP3-125726,Swiss National Science Foundation,Switzerland,3
WOS:000279155900030,3200B0-116562,Swiss National Science Foundation,Switzerland,3
WOS:000276091800023,3247-116862,Swiss National Science Foundation,Switzerland,3
WOS:000260913800052,PBBEB-104429,Swiss National Science Foundation,Switzerland,3
WOS:000281646600007,490,Swiss National Science Foundation (SHCS),Switzerland,3
WOS:000289509100010,3247B0-112594,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298383500026,3247B0-112594,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000289509100010,33CSC0-108787,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298383500026,324730-120793,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298383500026,324730-130865,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000290243500020,33CSC0-108787,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298666200003,592,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000297279900020,33CS30-134277,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298383500026,33CS30-134277,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000298666200003,33CSC0-108787,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000281646600007,3247B0-114006,Swiss National Science Foundation (SNF),Switzerland,3
WOS:000267542600024,405340-104679/1,Swiss National Science Foundation's,Switzerland,3
WOS:000267542600024,3100A0-121980/1,Swiss National Science Foundation's,Switzerland,3
WOS:000267542600024,320000-111778,Swiss National Science Foundation's,Switzerland,3
WOS:000298342700016,AS 99 TP B12,Academia Sinica Thematic Research Program,Taiwan,1
WOS:000291200800032,DOH98-TD-G-111-031,"Department of Health, Executive Yuan, Taiwan",Taiwan,2
WOS:000273876100004,DOH-95-TD-D-113-007,"Department of Health, Taiwan",Taiwan,2
WOS:000277594800002,NSC98-3112-B-001-022,"National Genotyping Center of National Research Program for Genomic Medicine, Taiwan",Taiwan,3
WOS:000273876100004,MD-096-PP-05,"National Health Research Institutes, Taiwan",Taiwan,4
WOS:000279398000008,TMS-094-2B-005,National Science Council Taiwan,Taiwan,5
WOS:000279354900003,NSC-95-2314-B-480-002-MY3,"National Science Council, Taiwan",Taiwan,5
WOS:000277594800002,NSC 95-2314-B-075-011,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,95-3112-B-001-011,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,NSC95-2314-B-010-096,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,95-3112-B-001-010,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,96-2628-B-182A-065-MY2,"National Science Council, Taiwan",Taiwan,5
WOS:000279354900003,NSC-94-2314-B-480-002,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,96-2320-B-010-021-MY2,"National Science Council, Taiwan",Taiwan,5
WOS:000279354900003,NSC-95-2314-B-480-004,"National Science Council, Taiwan",Taiwan,5
WOS:000291200800032,98-2628-B-002-087-MY3,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,95-2314-B-182A-048,"National Science Council, Taiwan",Taiwan,5
WOS:000298342700016,98-2320-B-010-002-MY3,"National Science Council, Taiwan",Taiwan,5
