query, wos_id, wos_title, PMID, search_result_rank, solr_score
"J. Kononen L. Bubendorf A. Kallioniemi M. Barlund P. Schraml S. Leighton J. Torhorst M.J. Mihatsch G. Sauter O.P. Kallioniemi "Tissue microarrays for high-throughput molecular profiling of tumor specimens" Nat Med 4:844-7 July 1998. ",WOS:000074543900042,"Torhorst, J Barlund, M Kallioniemi, A Leighton, S Kononen, J Sauter, G Mihatsch, MJ Bubendorf, L Kallioniemi, OP Schraml, P 1998 Tissue microarrays for high-throughput molecular profiling of tumor specimens NATURE MEDICINE",9662379,1,42.54133
"J. Kononen L. Bubendorf A. Kallioniemi M. Barlund P. Schraml S. Leighton J. Torhorst M.J. Mihatsch G. Sauter O.P. Kallioniemi "Tissue microarrays for high-throughput molecular profiling of tumor specimens" Nat Med 4:844-7 July 1998. ",WOS:000082879800046,"Torhorst, J Schraml, P Kononen, J Sauter, G Kallioniemi, O Bucher, C Mihatsch, M Moch, H Bubendorf, L 1999 Tissue microarrays (tissue chips) for high-throughput cancer genetics: Linking molecular changes to clinical endpoints. AMERICAN JOURNAL OF HUMAN GENETICS",NA,2,26.23554
"M.B. Eisen P.T. Spellman P.O. Brown D. Botstein "Cluster analysis and display of genome-wide expression patterns" Proc Natl Acad Sci 95:14863-8 Dec. 8 1998. ",WOS:000082574100079,"Botstein, D Eisen, MB Spellman, PT Brown, PO 1999 Cluster analysis and display of genome-wide expression patterns (vol 95, pg 14863, 1998) PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",NA,1,24.9116
"M.B. Eisen P.T. Spellman P.O. Brown D. Botstein "Cluster analysis and display of genome-wide expression patterns" Proc Natl Acad Sci 95:14863-8 Dec. 8 1998. ",WOS:000077436700051,"Botstein, D Eisen, MB Spellman, PT Brown, PO 1998 Cluster analysis and display of genome-wide expression patterns PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",9843981,2,21.97524
"D.J. Duggan M. Bittner M Y.D. Chen P. Meltzer J.M. Trent "Expression profiling using cDNA microarrays" Nat Genet 21(Suppl):10-4 January 1999. ",WOS:000078008200005,"Chen, YD Trent, JM Bittner, M Meltzer, P Duggan, DJ 1999 Expression profiling using cDNA microarrays NATURE GENETICS",9915494,1,27.904274
"D.J. Duggan M. Bittner M Y.D. Chen P. Meltzer J.M. Trent "Expression profiling using cDNA microarrays" Nat Genet 21(Suppl):10-4 January 1999. ",WOS:000079149500002,"Bittner, ML Meltzer, PS Khan, J Trent, JM Saal, LH Chen, YD 1999 Expression profiling in cancer using cDNA microarrays ELECTROPHORESIS",10197427,2,20.173508
"R.J. Lipshutz S.P.A. Fodor T.R. Gingeras D.J. Lockhart "High density synthetic oligonucleotide arrays" Nat Genet 21(Suppl):20-4 January 1999. ",WOS:000078008200007,"Lipshutz, RJ Gingeras, TR Lockhart, DJ Fodor, SPA 1999 High density synthetic oligonucleotide arrays NATURE GENETICS",9915496,1,29.74439
"R.J. Lipshutz S.P.A. Fodor T.R. Gingeras D.J. Lockhart "High density synthetic oligonucleotide arrays" Nat Genet 21(Suppl):20-4 January 1999. ",WOS:000088739200015,"Rosenow, C Gingeras, TR 2000 Studying microbial genomes with high-density oligonucleotide arrays ASM NEWS",NA,2,13.018
"P.O. Brown D. Botstein "Exploring the new world of the genome with DNA microarrays" Nat Genet 21(Suppl):33-7 January 1999. ",WOS:000078008200009,"Botstein, D Brown, PO 1999 Exploring the new world of the genome with DNA microarrays NATURE GENETICS",9915498,1,21.2043
"P.O. Brown D. Botstein "Exploring the new world of the genome with DNA microarrays" Nat Genet 21(Suppl):33-7 January 1999. ",WOS:000083673500003,"Brown, PO Botstein, D 1999 Genome-wide patterns of gene expression in cancer MOLECULAR BIOLOGY OF THE CELL",NA,2,11.474224
"P. Tamayo D. Slonim J. Mesirov Q. Zhu S. Kitareewan E. Dmitrovsky E.S. Lander T.R. Golub "Interpreting patterns of gene expression with self-organizing maps: Methods and application to hematopoietic differentiation" Proc Natl Acad Sci 96:2907-12 March 16 1999. ",WOS:000079224500064,"Mesirov, J Tamayo, P Dmitrovsky, E Kitareewan, S Zhu, Q Slonim, D Golub, TR Lander, ES 1999 Interpreting patterns of gene expression with self-organizing maps: Methods and application to hematopoietic differentiation PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",10077610,1,33.993656
"P. Tamayo D. Slonim J. Mesirov Q. Zhu S. Kitareewan E. Dmitrovsky E.S. Lander T.R. Golub "Interpreting patterns of gene expression with self-organizing maps: Methods and application to hematopoietic differentiation" Proc Natl Acad Sci 96:2907-12 March 16 1999. ",WOS:000077121302329,"Coller, H Tamayo, P Slonim, D Dmitrovsky, E Mesiroy, J Park, J Theilhaber, J Lander, ES Nowillo, K Kitarewan, S Zhu, Q Golub, TR 1998 A genome-wide approach to hematopoietic differentiation. BLOOD",NA,2,21.447823
"T.R. Golub D.K. Slonim P. Tamayo C. Huard M. Gaasenbeek J.P. Mesirov H. Coller M.L. Loh J.R. Downing M.A. Caligiuri C.D. Bloomfield E.S. Lander "Molecular classification of cancer: Class discovery and class prediction by gene expression monitoring" Science 286:531-7 Oct. 15 1999. ",WOS:000083121200061,"Caligiuri, MA Loh, ML Coller, H Mesirov, JP Lander, ES Gaasenbeek, M Huard, C Downing, JR Bloomfield, CD Tamayo, P Slonim, DK Golub, TR 1999 Molecular classification of cancer: Class discovery and class prediction by gene expression monitoring SCIENCE",10521349,1,46.263462
"T.R. Golub D.K. Slonim P. Tamayo C. Huard M. Gaasenbeek J.P. Mesirov H. Coller M.L. Loh J.R. Downing M.A. Caligiuri C.D. Bloomfield E.S. Lander "Molecular classification of cancer: Class discovery and class prediction by gene expression monitoring" Science 286:531-7 Oct. 15 1999. ",WOS:000083790302965,"Mesirov, J Slonim, D Coller, H Loh, M Gaasenbeek, M Caligiuri, MA Downing, JR Bloomfield, CD Tamayo, P Lander, ES Golub, TR Huard, C 1999 Gene expression pattern recognition for cancer classification. BLOOD",NA,2,37.25717
"A.A. Alizadeh M.B. Eisen R.E. Davis C. Ma I.S. Lossos A. Rosenwald J.G. Boldrick H. Sabet T Tran X. Yu J.I. Powell L.M. Yang G.E. Marti T. Moore J. Hudson L.S. Lu D.B. Lewis T. Tibshirani G. Sherlock W.C. Chan T.C. Greiner D.D. Weisenburger J.O. Armitage R. Warnke R. Levy W. Wilson M.R. Grever J.C. Byrd D. Botstein P.O. Brown L.M. Staudt "Distinct types of diffuse large B-cell lymphoma identified by gene expression profiling" Nature 403:503-11 Feb. 3 2000. ",WOS:000085227300039,"Tibshirani, R Eisen, MB Weisenburger, DD Greiner, TC Chan, WC Davis, RE Ma, C Sherlock, G Lewis, DB Lu, LS Hudson, J Staudt, LM Brown, PO Botstein, D Byrd, JC Grever, MR Lossos, IS Rosenwald, A Boldrick, JG Sabet, H Wilson, W Tran, T Levy, R Yu, X Warnke, R Powell, JI Yang, LM Armitage, JO Moore, T Alizadeh, AA Marti, GE 2000 Distinct types of diffuse large B-cell lymphoma identified by gene expression profiling NATURE",10676951,1,65.05965
"A.A. Alizadeh M.B. Eisen R.E. Davis C. Ma I.S. Lossos A. Rosenwald J.G. Boldrick H. Sabet T Tran X. Yu J.I. Powell L.M. Yang G.E. Marti T. Moore J. Hudson L.S. Lu D.B. Lewis T. Tibshirani G. Sherlock W.C. Chan T.C. Greiner D.D. Weisenburger J.O. Armitage R. Warnke R. Levy W. Wilson M.R. Grever J.C. Byrd D. Botstein P.O. Brown L.M. Staudt "Distinct types of diffuse large B-cell lymphoma identified by gene expression profiling" Nature 403:503-11 Feb. 3 2000. ",WOS:000083790303136,"Sabet, H Marti, GE Lossos, I Hudson, J Weisenburger, DD Warnke, R Greiner, TC Chan, WC Alizadeh, A Yang, L Botstein, D Brown, PO Eisen, M Staudt, LM Powell, JI Davis, RE Levy, R Tran, T Moores, T Ma, C Armitage, JO 1999 Gene expression in large B-cell lymphoma using cDNA microarray technology. BLOOD",NA,2,45.025867
